Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
NACC1 	 0.7058824 	 0.1795426 	 0.3029658 	 0.09650485 	 0.1006212 	 0.8175921 	 0.09044358 	 -108.9415 	 -8099.777 	Good
DNMT3L 	 0 	 1 	 0.6495833 	 0.1545758 	 -0.817269 	 0.8897495 	 0.09189463 	 -63.09832 	 -7867.527 	Poor
EZH2 	 0.2058824 	 0.3018182 	 0.1138704 	 0.08560726 	 0.3634013 	 0.958767 	 0.0584354 	 -102.0276 	 -6703.742 	Good
EED 	 0.1764706 	 -0.1220167 	 0.8262849 	 0.0633633 	 0.1528391 	 0.1402502 	 0.1048253 	 -91.81614 	 -7515.486 	Good
SMARCC2 	 0.9852941 	 0.1074253 	 0.3807807 	 0.01864834 	 -0.1006672 	 0.2242398 	 0.08284653 	 -141.7567 	 -9495.469 	Poor
NODAL 	 0.02941176 	 -0.1870653 	 0.913994 	 0.04112045 	 0.7205299 	 0.6918504 	 0.1220102 	 -99.2479 	 -7330.905 	Good
CDH1 	 0.08823529 	 0.3000219 	 0.1414234 	 0.09214769 	 0.5972254 	 0.4706105 	 0.119487 	 -84.84934 	 -8274.111 	Poor
LEFTY2 	 0 	 -0.3803395 	 0.863661 	 0.06296572 	 0.7964756 	 0.3886046 	 0.1169548 	 -46.50321 	 -7788.144 	Poor
RIF1 	 0.6470588 	 0.2249057 	 0.2775312 	 0.02766651 	 0.1007326 	 0.9145829 	 0.06428103 	 -84.96141 	 -6978.314 	Poor
ETV5 	 0.2794118 	 -0.9413559 	 0.3426228 	 0.1367236 	 1 	 0.3300779 	 0.1774006 	 -93.84641 	 -6312.26 	Good
DNMT3B 	 0.1323529 	 0.4779659 	 0.2865244 	 0.06207254 	 0.3910415 	 0.4947088 	 0.1358173 	 -89.73883 	 -7966.313 	Poor
KDM5A 	 0.7647059 	 0.2357783 	 0.6840561 	 0.0833144 	 -0.1412614 	 0.0963391 	 0.05396567 	 -94.19415 	 -7094.64 	Good
JARID2 	 0.4411765 	 0.1002948 	 0.6066255 	 0.1774006 	 0.4650808 	 0.2086701 	 0.1054744 	 -87.48781 	 -8310.229 	Poor
LOX 	 1 	 -0.4048058 	 0.6068252 	 0.05798361 	 -0.4544987 	 0.2319009 	 0.049185 	 -89.10217 	 -7734.545 	Good
Wnt3 	 0 	 0.4433358 	 0.7263589 	 0.1400396 	 -0.3808424 	 0.9271447 	 0.1774006 	 -129.6703 	 -9780.842 	Good
Gata6 	 0.1764706 	 0.1198616 	 0.2874157 	 0.02358891 	 -0.189599 	 0.762872 	 0.1774006 	 -101.716 	 -7751.924 	Good
DPPA2 	 0 	 0.3469195 	 0.7343287 	 0.0899232 	 0.100862 	 0.8143357 	 0.01395841 	 -90.86305 	 -9685.339 	Poor
SALL1 	 0.6176471 	 1 	 0.3052216 	 0.09980104 	 -0.7705528 	 0.3079197 	 0.1413479 	 -80.26776 	 -7520.306 	Poor
TCF3 	 0.2794118 	 0.2754547 	 0.1883093 	 0.09548654 	 0.2511581 	 0.9377101 	 0.03806034 	 -91.31746 	 -6041.592 	Good
PTPN6 	 0.02941176 	 -0.1363833 	 0.6105656 	 0.02220296 	 0.5061835 	 0.6525104 	 0.09003648 	 -101.3776 	 -8184.354 	Good
USP16 	 0.7352941 	 -0.6217532 	 0.3383517 	 0.1774006 	 0.7175381 	 0.3017804 	 0.1423721 	 -113.1645 	 -8213.677 	Good
SETD1A 	 0.6617647 	 -0.4514752 	 0.5582642 	 0.07602206 	 0.7691066 	 0.5294728 	 0.1774006 	 -90.17484 	 -7126.382 	Poor
HDAC2 	 0.6029412 	 0.100033 	 0.9503069 	 0.1180208 	 0.3292105 	 0.3012327 	 0.04084045 	 -108.24 	 -7249.328 	Good
LUM 	 0.9852941 	 -0.447222 	 0.2847701 	 0.05261672 	 -0.5139894 	 0.4959762 	 0.1774006 	 -83.6225 	 -8267.427 	Poor
SOX13 	 0.3676471 	 -0.5627969 	 0.1950074 	 0.07652712 	 1 	 0.3237811 	 0.1125248 	 -81.69915 	 -6253.159 	Poor
SMAD4 	 0.7794118 	 1 	 0.4904544 	 0.1774006 	 -0.8408242 	 0.5144877 	 0.125663 	 -108.7156 	 -8392.97 	Good
SEMA6A 	 0 	 0.8895052 	 0.4042371 	 0.1685337 	 0.110524 	 0.7122101 	 0.0733459 	 -94.30028 	 -8801.598 	Good
GAL 	 0.1029412 	 0.7117169 	 0.3530347 	 0.1362143 	 -0.1086227 	 0.9061672 	 0.01153643 	 -56.69562 	 -7103.242 	Poor
SALL4 	 0.1176471 	 0.2705981 	 0.6010745 	 0.1014592 	 0.6107926 	 0.2885541 	 0.1016458 	 -85.81342 	 -8235.346 	Poor
HESX1 	 0 	 1 	 0.8512911 	 0.1774006 	 -0.5358567 	 0.7542461 	 0.09766177 	 -104.1244 	 -8211.319 	Poor
PRDM14 	 0 	 0.112915 	 0.5955008 	 0.03652555 	 0.831034 	 0.5050517 	 0.1529562 	 -96.90352 	 -8136.376 	Good
COL3A1 	 1 	 -0.100463 	 0.3205957 	 0.1774006 	 -0.8878005 	 0.6981734 	 0.1262754 	 -84.05457 	 -8241.505 	Poor
GREM1 	 0.7794118 	 -0.5334997 	 0.2143659 	 0.0843984 	 -0.2209539 	 0.2859231 	 0.01492803 	 -82.39702 	 -8360.253 	Poor
DVL2 	 0.6617647 	 -0.7684956 	 0.2806248 	 0.1006231 	 1 	 0.2602562 	 0.1299304 	 -89.7522 	 -8133.237 	Poor
APOE 	 0.1323529 	 0.6086808 	 0.599773 	 0.1158299 	 0.2567067 	 0.1326432 	 0.06344979 	 -101.0954 	 -8489.066 	Good
LRRN1 	 0 	 0.1641542 	 0.4863707 	 0.1174077 	 1 	 0.9314873 	 0.1270955 	 -71.61728 	 -8994.872 	Poor
STAT3 	 0.9117647 	 0.9934944 	 0.359659 	 0.1227631 	 -1 	 0.3526564 	 0.1413258 	 -97.83682 	 -8491.743 	Poor
OTX2 	 0.04411765 	 0.7583939 	 0.9296363 	 0.09683961 	 0.1004075 	 0.6020185 	 0.1774006 	 -61.665 	 -5463.315 	Poor
CCND1 	 0.9558824 	 -1 	 0.3974739 	 0.07927315 	 0.9782631 	 0.3985441 	 0.06663246 	 -133.1016 	 -8317.029 	Good
STEMCCA_P2A 	 0.9117647 	 -0.2514009 	 0.9634549 	 0.0690188 	 -0.1003986 	 0.9758499 	 0.07621798 	 -81.81984 	 -6473.188 	Poor
TET2 	 0.3529412 	 0.2406285 	 0.1191439 	 0.06449385 	 -0.4878448 	 0.7609484 	 0.1321974 	 -66.8412 	 -7161.588 	Poor
KAT7_Myst 	 0.6470588 	 0.2174052 	 0.2580704 	 0.08337959 	 0.1345901 	 0.7630615 	 0.1149564 	 -108.5236 	 -8495.478 	Good
TDGF1 	 0.1176471 	 0.5530161 	 0.9026656 	 0.08034147 	 0.1293417 	 0.1041425 	 0.0568115 	 -58.21063 	 -6639.721 	Poor
MASP1 	 0.9411765 	 -0.680825 	 0.2536594 	 0.07787557 	 -0.2108692 	 0.4938859 	 0.06622674 	 -73.97302 	 -7535.27 	Poor
KDR 	 0 	 0.3744683 	 0.2541646 	 0.06391849 	 0.6198008 	 0.9130932 	 0.1119583 	 -95.83459 	 -8040.452 	Good
GDF3 	 0 	 -0.129257 	 0.8637939 	 0.03341188 	 1 	 0.477017 	 0.1763925 	 -82.76073 	 -7476.965 	Poor
NANOG 	 0.1911765 	 0.6280517 	 0.3245813 	 0.1190835 	 0.1432227 	 0.2785587 	 0.02060204 	 -88.52514 	 -8753.322 	Poor
ZIC3 	 0.04411765 	 0.27003 	 0.7911279 	 0.06609747 	 0.6726065 	 0.9225014 	 0.1774006 	 -73.11856 	 -7692.237 	Poor
LIN28A 	 0.2205882 	 0.5660632 	 0.7698791 	 0.1237531 	 0.2094522 	 0.1858084 	 0.1678434 	 -85.12356 	 -7540.107 	Good
POU5F1 	 0.2352941 	 0.506682 	 0.4184589 	 0.1774006 	 0.2616795 	 0.4159767 	 0.03843439 	 -85.17284 	 -7682.316 	Poor
