Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
ZFP42_REX1 	 0.01470588 	 1 	 0.6195764 	 0.1486341 	 -102.4625 	 -7390.349 	Good
TRIM28 	 0.8676471 	 0.1109375 	 0.2688298 	 0.1043465 	 -141.0622 	 -8217.406 	Good
CD48 	 0 	 0.1001405 	 0.2362346 	 0.05098465 	 -131.7746 	 -6725.094 	Good
CDKN1A 	 1 	 -0.4880399 	 0.5720044 	 0.1774006 	 -112.6125 	 -6867.916 	Good
JMJD3 	 0.3235294 	 -0.1002965 	 0.9842452 	 0.01495283 	 -113.7275 	 -5952.581 	Good
RNF2 	 0.6617647 	 0.331956 	 0.6220633 	 0.1774006 	 -111.3604 	 -6176.591 	Good
LATS2 	 0.7352941 	 0.1003184 	 0.8677758 	 0.0762004 	 -99.55417 	 -4333.59 	Good
FGF2 	 0.8970588 	 -0.1196425 	 0.1271786 	 0.05874196 	 -107.3715 	 -5127.085 	Good
LCK 	 0 	 0.3888505 	 0.5508064 	 0.1774006 	 -111.6261 	 -5353.617 	Good
KLF5 	 0.3823529 	 0.4455967 	 0.2382857 	 0.03954045 	 -70.27873 	 -5119.476 	Poor
KLF4 	 0.7941176 	 -0.1801037 	 0.1376568 	 0.05153071 	 -89.28718 	 -5494.561 	Poor
NACC1 	 0.7058824 	 0.2324856 	 0.3781743 	 0.1774006 	 -116.8367 	 -7134.072 	Good
DNMT3L 	 0 	 0.5598187 	 0.5495659 	 0.085411 	 -80.28874 	 -4937.624 	Poor
EZH2 	 0.2058824 	 0.3299102 	 0.1294164 	 0.1136779 	 -110.9177 	 -5545.431 	Good
EED 	 0.1764706 	 0.1232282 	 0.1081989 	 0.08126945 	 -103.2693 	 -6234.188 	Good
SMARCC2 	 0.9852941 	 0.1006878 	 0.9873415 	 0.009461363 	 -164.4544 	 -6790.132 	Good
NODAL 	 0.02941176 	 0.6005992 	 0.6601369 	 0.09389913 	 -106.6546 	 -6818.353 	Good
CDH1 	 0.08823529 	 0.8919348 	 0.3648101 	 0.1774006 	 -96.07062 	 -6598.011 	Poor
LEFTY2 	 0 	 0.6754028 	 0.3594541 	 0.08792798 	 -62.7767 	 -4758.421 	Poor
RIF1 	 0.6470588 	 0.2379251 	 0.2806786 	 0.03000712 	 -93.23233 	 -6614.825 	Poor
ETV5 	 0.2794118 	 0.1000891 	 0.7786694 	 0.04383569 	 -99.64579 	 -5738.553 	Good
DNMT3B 	 0.1323529 	 0.8473437 	 0.360418 	 0.1306424 	 -96.48217 	 -6555.755 	Poor
KDM5A 	 0.7647059 	 0.1004394 	 0.7669412 	 0.04443897 	 -97.61351 	 -4575.28 	Good
JARID2 	 0.4411765 	 0.5368991 	 0.2376037 	 0.1373919 	 -94.66119 	 -7500.211 	Poor
LOX 	 1 	 -0.8258815 	 0.3870661 	 0.1774006 	 -102.9261 	 -4916.154 	Good
Wnt3 	 0 	 0.2209085 	 0.6460276 	 0.0971086 	 -139.0785 	 -9001.494 	Good
Gata6 	 0.1764706 	 -0.1003718 	 0.9437454 	 0.05445835 	 -117.2219 	 -5399.166 	Good
DPPA2 	 0 	 0.4555503 	 0.7585347 	 0.08814801 	 -98.07421 	 -8799.713 	Poor
SALL1 	 0.6176471 	 0.2413917 	 0.3006845 	 0.04225363 	 -90.25362 	 -6929.53 	Poor
TCF3 	 0.2794118 	 0.300335 	 0.2022576 	 0.1036249 	 -101.1122 	 -5365.682 	Good
PTPN6 	 0.02941176 	 0.375649 	 0.6758685 	 0.1016121 	 -111.7317 	 -7826.601 	Good
USP16 	 0.7352941 	 0.1175765 	 0.2272105 	 0.05870465 	 -120.0983 	 -7438.052 	Good
SETD1A 	 0.6617647 	 0.2651025 	 0.3758071 	 0.1774006 	 -97.14855 	 -6317.687 	Poor
HDAC2 	 0.6029412 	 0.3418916 	 0.3043001 	 0.04443676 	 -115.9862 	 -6997.3 	Good
LUM 	 0.9852941 	 -0.9238379 	 0.3675514 	 0.1477583 	 -93.09813 	 -6243.236 	Poor
SOX13 	 0.3676471 	 0.4328459 	 0.4181866 	 0.0589873 	 -98.38104 	 -5085.913 	Good
SMAD4 	 0.7794118 	 0.1294065 	 0.2229228 	 0.05870497 	 -117.2816 	 -7521.389 	Good
SEMA6A 	 0 	 0.9858904 	 0.4320095 	 0.1774006 	 -98.93429 	 -7917.18 	Good
GAL 	 0.1029412 	 0.6861053 	 0.3453374 	 0.1268535 	 -67.06937 	 -6446.455 	Poor
SALL4 	 0.1176471 	 0.8679584 	 0.3690347 	 0.1774006 	 -93.55207 	 -6911.915 	Poor
HESX1 	 0 	 0.5132828 	 0.9873415 	 0.1079376 	 -104.0582 	 -7257.585 	Poor
PRDM14 	 0 	 0.9501857 	 0.5207162 	 0.1472392 	 -108.1364 	 -7798.714 	Good
COL3A1 	 1 	 -1 	 0.6769821 	 0.1531532 	 -92.8863 	 -7309.776 	Poor
GREM1 	 0.7794118 	 -0.7573911 	 0.2409181 	 0.07800607 	 -91.40813 	 -7411.43 	Poor
DVL2 	 0.6617647 	 0.226159 	 0.1596296 	 0.1774006 	 -98.2832 	 -7622.754 	Poor
APOE 	 0.1323529 	 0.839519 	 0.4779643 	 0.1774006 	 -106.0482 	 -5009.659 	Good
LRRN1 	 0 	 1 	 0.8609895 	 0.1774006 	 -77.72075 	 -6352.002 	Poor
STAT3 	 0.9117647 	 0.1003307 	 0.9873415 	 0.009626078 	 -109.3421 	 -7262.602 	Poor
OTX2 	 0.04411765 	 1 	 0.9379143 	 0.1516066 	 -68.21911 	 -5388.573 	Poor
CCND1 	 0.9558824 	 -0.1009577 	 0.9873415 	 0.05007423 	 -143.22 	 -7266.421 	Good
STEMCCA_P2A 	 0.9117647 	 -0.1858179 	 0.9103759 	 0.03198844 	 -90.78292 	 -6529.34 	Poor
TET2 	 0.3529412 	 0.1004208 	 0.05594026 	 0.02359609 	 -78.4483 	 -3733.014 	Poor
KAT7_Myst 	 0.6470588 	 0.2963649 	 0.3418183 	 0.1774006 	 -115.2743 	 -6806.387 	Good
TDGF1 	 0.1176471 	 0.9448493 	 0.9323212 	 0.1774006 	 -58.45584 	 -4583.124 	Poor
MASP1 	 0.9411765 	 -0.8833122 	 0.2994179 	 0.1262932 	 -84.40377 	 -6757.732 	Poor
KDR 	 0 	 0.5384039 	 0.3626514 	 0.1774006 	 -117.2618 	 -4562.122 	Good
GDF3 	 0 	 0.9295538 	 0.4565933 	 0.158931 	 -95.27223 	 -6553.508 	Poor
NANOG 	 0.1911765 	 0.7669919 	 0.3117889 	 0.1029823 	 -97.5473 	 -8072.354 	Poor
ZIC3 	 0.04411765 	 0.7478929 	 0.8240846 	 0.1112254 	 -82.34645 	 -7657.043 	Poor
LIN28A 	 0.2205882 	 0.7021496 	 0.6344516 	 0.1774006 	 -92.45016 	 -4933.836 	Good
POU5F1 	 0.2352941 	 0.7583691 	 0.4155117 	 0.1201407 	 -92.43471 	 -7183.917 	Poor
