Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
SP1 	 N3 	 0.1351788 	 0.07314815 	 1.848014 	 1.427582 	 -198.5463 	 -193.8095 	 0.5271972 	 -9628.301 	 -9628.119 	 0.06535578 	 -439.823 
LEFTY1 	 U 	 Inf 	 0.1888889 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LEFTY1 	 LR 	 0.2136886 	 0.1888889 	 1.131293 	 1.395376 	 -182.6422 	 -182.3756 	 0.9829676 	 -5606.702 	 -5606.69 	 3.682744 	 -264.778 
LEFTY1 	 N1 	 0.207742 	 0.1888889 	 1.09981 	 1.399485 	 -183.0519 	 -182.5065 	 0.9348388 	 -6681.613 	 -6681.588 	 1.255863 	 -314.1393 
LEFTY1 	 N2 	 0.2152685 	 0.1888889 	 1.139657 	 1.412735 	 -178.6553 	 -176.6065 	 0.9041275 	 -8916.032 	 -8915.947 	 0.1339407 	 -414.0686 
LEFTY1 	 N3 	 0.2304939 	 0.1888889 	 1.220262 	 1.427582 	 -172.9323 	 -168.1954 	 0.8989262 	 -9218.435 	 -9218.254 	 0.0984257 	 -420.1691 
SET 	 U 	 Inf 	 0.03449074 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SET 	 LR 	 0.03527228 	 0.03449074 	 1.022659 	 1.395376 	 -269.1105 	 -268.8439 	 0.1622525 	 -6937.645 	 -6937.633 	 0.9743783 	 -328.5994 
SET 	 N1 	 0.03358898 	 0.03449074 	 0.9738549 	 1.399485 	 -270.5127 	 -269.9672 	 0.1511504 	 -6632.234 	 -6632.21 	 1.319368 	 -311.7715 
SET 	 N2 	 0.06122215 	 0.03449074 	 1.775032 	 1.412735 	 -239.0094 	 -236.9606 	 0.257133 	 -8980.425 	 -8980.34 	 0.1255958 	 -417.1564 
SET 	 N3 	 0.06252663 	 0.03449074 	 1.812853 	 1.427582 	 -235.5546 	 -230.8177 	 0.2438538 	 -9364.625 	 -9364.444 	 0.08505157 	 -427.1793 
CBX7 	 U 	 Inf 	 0.03287037 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CBX7 	 LR 	 0.0247384 	 0.03287037 	 0.7526048 	 1.395376 	 -286.1381 	 -285.8714 	 0.1137966 	 -8206.957 	 -8206.945 	 0.2741721 	 -389.4655 
CBX7 	 N1 	 0.02934452 	 0.03287037 	 0.8927347 	 1.399485 	 -276.9971 	 -276.4517 	 0.1320503 	 -7545.817 	 -7545.793 	 0.5296613 	 -355.5796 
CBX7 	 N2 	 0.0311714 	 0.03287037 	 0.9483131 	 1.412735 	 -271.4098 	 -269.361 	 0.1309199 	 -10461.39 	 -10461.3 	 0.02860506 	 -488.1717 
CBX7 	 N3 	 0.03399732 	 0.03287037 	 1.034285 	 1.427582 	 -264.8015 	 -260.0647 	 0.1325895 	 -10503.49 	 -10503.3 	 0.02726315 	 -481.7899 
UTF1 	 U 	 Inf 	 0.1636574 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
UTF1 	 LR 	 0.5011008 	 0.1636574 	 3.061889 	 1.395376 	 -141.7324 	 -141.4658 	 2.305064 	 -3374.198 	 -3374.186 	 34.25841 	 -157.7248 
UTF1 	 N1 	 0.8068354 	 0.1636574 	 4.930027 	 1.399485 	 -117.9244 	 -117.379 	 3.630759 	 -5703.466 	 -5703.442 	 3.336734 	 -267.2351 
UTF1 	 N2 	 0.9845243 	 0.1636574 	 6.015764 	 1.412735 	 -105.6822 	 -103.6335 	 4.135002 	 -7947.65 	 -7947.565 	 0.3524159 	 -367.6327 
UTF1 	 N3 	 1.071332 	 0.1636574 	 6.546189 	 1.427582 	 -99.18343 	 -94.44659 	 4.178196 	 -8756.8 	 -8756.619 	 0.1560967 	 -398.0328 
CDH2..NCAD. 	 U 	 Inf 	 0.1391204 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CDH2..NCAD. 	 LR 	 0.1305833 	 0.1391204 	 0.9386356 	 1.395376 	 -206.2826 	 -206.016 	 0.6006833 	 -5057.896 	 -5057.884 	 6.372017 	 -238.4616 
CDH2..NCAD. 	 N1 	 0.1326533 	 0.1391204 	 0.9535148 	 1.399485 	 -204.5827 	 -204.0373 	 0.59694 	 -5115.389 	 -5115.365 	 6.004337 	 -239.0356 
CDH2..NCAD. 	 N2 	 0.1706082 	 0.1391204 	 1.226335 	 1.412735 	 -189.8161 	 -187.7673 	 0.7165544 	 -6849.425 	 -6849.34 	 1.05568 	 -314.9706 
CDH2..NCAD. 	 N3 	 0.1945573 	 0.1391204 	 1.398482 	 1.427582 	 -181.0681 	 -176.3313 	 0.7587736 	 -7162.494 	 -7162.312 	 0.767539 	 -321.5826 
HNF4A 	 U 	 Inf 	 0.09560185 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
HNF4A 	 LR 	 0.09409563 	 0.09560185 	 0.9842449 	 1.395376 	 -222.0122 	 -221.7456 	 0.4328399 	 -5470.074 	 -5470.062 	 4.221327 	 -258.2264 
HNF4A 	 N1 	 0.106313 	 0.09560185 	 1.112039 	 1.399485 	 -215.2076 	 -214.6621 	 0.4784084 	 -6225.619 	 -6225.595 	 1.980523 	 -292.2734 
HNF4A 	 N2 	 0.1506261 	 0.09560185 	 1.575557 	 1.412735 	 -195.7954 	 -193.7466 	 0.6326298 	 -8085.258 	 -8085.174 	 0.3071515 	 -374.2313 
HNF4A 	 N3 	 0.1590532 	 0.09560185 	 1.663704 	 1.427582 	 -190.7396 	 -186.0027 	 0.6203074 	 -7917.064 	 -7916.883 	 0.3611787 	 -357.7657 
TGFBR2 	 U 	 Inf 	 0.2141204 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TGFBR2 	 LR 	 0.302334 	 0.2141204 	 1.411981 	 1.395376 	 -165.9857 	 -165.719 	 1.390736 	 -5379.64 	 -5379.628 	 4.620453 	 -253.8899 
TGFBR2 	 N1 	 0.385024 	 0.2141204 	 1.798166 	 1.399485 	 -153.4355 	 -152.8901 	 1.732608 	 -5808.916 	 -5808.891 	 3.00311 	 -272.2917 
TGFBR2 	 N2 	 0.3685001 	 0.2141204 	 1.720995 	 1.412735 	 -152.8527 	 -150.8039 	 1.5477 	 -7828.512 	 -7828.428 	 0.396958 	 -361.9198 
TGFBR2 	 N3 	 0.3988781 	 0.2141204 	 1.862869 	 1.427582 	 -146.6075 	 -141.8707 	 1.555625 	 -8183.704 	 -8183.523 	 0.2767181 	 -370.5517 
DUSP10 	 U 	 Inf 	 0.07893519 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
DUSP10 	 LR 	 0.0734474 	 0.07893519 	 0.9304774 	 1.395376 	 -233.9039 	 -233.6372 	 0.3378581 	 -5619.793 	 -5619.781 	 3.634894 	 -265.4057 
DUSP10 	 N1 	 0.1090357 	 0.07893519 	 1.381332 	 1.399485 	 -213.9938 	 -213.4483 	 0.4906607 	 -8336.047 	 -8336.023 	 0.2405185 	 -393.4728 
DUSP10 	 N2 	 0.1251253 	 0.07893519 	 1.585165 	 1.412735 	 -204.6987 	 -202.6499 	 0.5255261 	 -8281.237 	 -8281.152 	 0.2525372 	 -383.6289 
DUSP10 	 N3 	 0.1254357 	 0.07893519 	 1.589098 	 1.427582 	 -202.1369 	 -197.4001 	 0.4891993 	 -9191.447 	 -9191.265 	 0.1011155 	 -418.875 
MYC 	 U 	 Inf 	 0.07962963 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
MYC 	 LR 	 1.724854 	 0.07962963 	 21.66096 	 1.395376 	 -82.40011 	 -82.13344 	 7.934329 	 -4569.479 	 -4569.467 	 10.37963 	 -215.041 
MYC 	 N1 	 1.837088 	 0.07962963 	 23.07041 	 1.399485 	 -78.42922 	 -77.88376 	 8.266895 	 -3727.552 	 -3727.528 	 24.02111 	 -172.486 
MYC 	 N2 	 1.877702 	 0.07962963 	 23.58044 	 1.412735 	 -74.69127 	 -72.64249 	 7.886346 	 -8027.175 	 -8027.091 	 0.3255011 	 -371.4461 
MYC 	 N3 	 1.993688 	 0.07962963 	 25.03701 	 1.427582 	 -69.37145 	 -64.6346 	 7.775382 	 -8222.483 	 -8222.302 	 0.266203 	 -372.4112 
ZFP42..REX1. 	 U 	 Inf 	 0.1914352 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
ZFP42..REX1. 	 LR 	 0.2068473 	 0.1914352 	 1.080509 	 1.395376 	 -184.2041 	 -183.9374 	 0.9514978 	 -3423.613 	 -3423.601 	 32.60827 	 -160.0944 
ZFP42..REX1. 	 N1 	 0.2435026 	 0.1914352 	 1.271984 	 1.399485 	 -175.4281 	 -174.8826 	 1.095762 	 -8469.49 	 -8469.466 	 0.2105002 	 -399.8717 
ZFP42..REX1. 	 N2 	 0.2618537 	 0.1914352 	 1.367845 	 1.412735 	 -169.2521 	 -167.2033 	 1.099786 	 -8552.184 	 -8552.1 	 0.1926513 	 -396.6214 
ZFP42..REX1. 	 N3 	 0.2907048 	 0.1914352 	 1.518555 	 1.427582 	 -161.7922 	 -157.0554 	 1.133749 	 -9113.394 	 -9113.213 	 0.1093155 	 -415.1322 
TRIM28 	 U 	 Inf 	 0.03935185 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TRIM28 	 LR 	 0.04177905 	 0.03935185 	 1.061679 	 1.395376 	 -260.9842 	 -260.7176 	 0.1921836 	 -8507.599 	 -8507.587 	 0.2030423 	 -403.8819 
TRIM28 	 N1 	 0.0452809 	 0.03935185 	 1.150668 	 1.399485 	 -256.1757 	 -255.6302 	 0.203764 	 -9270.398 	 -9270.374 	 0.09457369 	 -438.2768 
TRIM28 	 N2 	 0.04828198 	 0.03935185 	 1.22693 	 1.412735 	 -250.407 	 -248.3583 	 0.2027843 	 -9763.826 	 -9763.742 	 0.05742327 	 -454.7221 
TRIM28 	 N3 	 0.05190426 	 0.03935185 	 1.318979 	 1.427582 	 -244.4918 	 -239.7549 	 0.2024266 	 -9604.706 	 -9604.525 	 0.06691458 	 -438.6916 
CD48 	 U 	 Inf 	 0.05069444 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CD48 	 LR 	 0.07246146 	 0.05069444 	 1.429377 	 1.395376 	 -234.5526 	 -234.2859 	 0.3333227 	 -6636.578 	 -6636.566 	 1.316282 	 -314.1626 
CD48 	 N1 	 0.08102005 	 0.05069444 	 1.598204 	 1.399485 	 -228.2487 	 -227.7033 	 0.3645902 	 -7187.429 	 -7187.405 	 0.7576845 	 -338.3942 
CD48 	 N2 	 0.08801413 	 0.05069444 	 1.736169 	 1.412735 	 -221.586 	 -219.5372 	 0.3696593 	 -8771.759 	 -8771.674 	 0.1547059 	 -407.1504 
CD48 	 N3 	 0.09338902 	 0.05069444 	 1.842194 	 1.427582 	 -216.2979 	 -211.561 	 0.3642172 	 -9168.86 	 -9168.679 	 0.103423 	 -417.7919 
CDKN1A 	 U 	 Inf 	 0.1844907 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CDKN1A 	 LR 	 0.183765 	 0.1844907 	 0.9960661 	 1.395376 	 -189.8836 	 -189.617 	 0.8453189 	 -5915.699 	 -5915.687 	 2.704643 	 -279.595 
CDKN1A 	 N1 	 0.1811664 	 0.1844907 	 0.9819808 	 1.399485 	 -189.6222 	 -189.0768 	 0.8152487 	 -6962.327 	 -6962.303 	 0.9487487 	 -327.6001 
CDKN1A 	 N2 	 0.1981857 	 0.1844907 	 1.074231 	 1.412735 	 -182.624 	 -180.5753 	 0.8323799 	 -8428.65 	 -8428.566 	 0.2179557 	 -390.6977 
CDKN1A 	 N3 	 0.2146766 	 0.1844907 	 1.163617 	 1.427582 	 -176.3447 	 -171.6078 	 0.8372386 	 -9050.549 	 -9050.367 	 0.1163986 	 -412.1187 
JMJD3 	 U 	 Inf 	 0.2013889 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
JMJD3 	 LR 	 0.2307108 	 0.2013889 	 1.145599 	 1.395376 	 -178.9633 	 -178.6966 	 1.06127 	 -6267.388 	 -6267.376 	 1.903381 	 -296.4592 
JMJD3 	 N1 	 0.2676466 	 0.2013889 	 1.329004 	 1.399485 	 -170.8901 	 -170.3447 	 1.20441 	 -5231.384 	 -5231.36 	 5.347359 	 -244.5978 
JMJD3 	 N2 	 0.287708 	 0.2013889 	 1.428619 	 1.412735 	 -164.7324 	 -162.6837 	 1.208373 	 -6888.432 	 -6888.348 	 1.015332 	 -316.8411 
JMJD3 	 N3 	 0.3024223 	 0.2013889 	 1.501683 	 1.427582 	 -159.8955 	 -155.1586 	 1.179447 	 -8008.819 	 -8008.637 	 0.329544 	 -362.1656 
RNF2 	 U 	 Inf 	 0.1479167 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
RNF2 	 LR 	 0.112033 	 0.1479167 	 0.7574065 	 1.395376 	 -213.6371 	 -213.3704 	 0.515352 	 -5484.848 	 -5484.836 	 4.159481 	 -258.9348 
RNF2 	 N1 	 0.1288282 	 0.1479167 	 0.8709515 	 1.399485 	 -205.9871 	 -205.4417 	 0.5797271 	 -6137.2 	 -6137.176 	 2.163423 	 -288.0336 
RNF2 	 N2 	 0.1779934 	 0.1479167 	 1.203336 	 1.412735 	 -187.782 	 -185.7332 	 0.7475723 	 -7620.283 	 -7620.198 	 0.4887504 	 -351.9348 
RNF2 	 N3 	 0.1883681 	 0.1479167 	 1.273475 	 1.427582 	 -182.6199 	 -177.8831 	 0.7346357 	 -9051.956 	 -9051.774 	 0.1162351 	 -412.1861 
LATS2 	 U 	 Inf 	 0.2166667 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LATS2 	 LR 	 0.2985569 	 0.2166667 	 1.377955 	 1.395376 	 -166.5891 	 -166.3224 	 1.373362 	 -4624.827 	 -4624.815 	 9.82129 	 -217.695 
LATS2 	 N1 	 0.403597 	 0.2166667 	 1.862755 	 1.399485 	 -151.1742 	 -150.6287 	 1.816186 	 -3636.227 	 -3636.203 	 26.31571 	 -168.1068 
LATS2 	 N2 	 0.3891769 	 0.2166667 	 1.796201 	 1.412735 	 -150.2322 	 -148.1834 	 1.634543 	 -8420.631 	 -8420.546 	 0.2197089 	 -390.3131 
LATS2 	 N3 	 0.4193927 	 0.2166667 	 1.935659 	 1.427582 	 -144.2003 	 -139.4634 	 1.635632 	 -8520.065 	 -8519.883 	 0.1977443 	 -386.6809 
FGF2 	 U 	 Inf 	 0.1706019 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FGF2 	 LR 	 0.2622077 	 0.1706019 	 1.536957 	 1.395376 	 -172.8206 	 -172.554 	 1.206155 	 -4424.972 	 -4424.959 	 11.99162 	 -208.1116 
FGF2 	 N1 	 0.2742579 	 0.1706019 	 1.60759 	 1.399485 	 -169.7189 	 -169.1734 	 1.234161 	 -4735.577 	 -4735.553 	 8.775067 	 -220.8229 
FGF2 	 N2 	 0.3948355 	 0.1706019 	 2.314368 	 1.412735 	 -149.5393 	 -147.4905 	 1.658309 	 -7821.836 	 -7821.752 	 0.3996143 	 -361.5997 
FGF2 	 N3 	 0.4264493 	 0.1706019 	 2.499676 	 1.427582 	 -143.3993 	 -138.6625 	 1.663152 	 -7834.59 	 -7834.408 	 0.3921974 	 -353.8109 
LCK 	 U 	 Inf 	 0.15625 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LCK 	 LR 	 0.1681455 	 0.15625 	 1.076131 	 1.395376 	 -194.1474 	 -193.8807 	 0.7734691 	 -5208.576 	 -5208.564 	 5.481541 	 -245.687 
LCK 	 N1 	 0.2471504 	 0.15625 	 1.581763 	 1.399485 	 -174.7143 	 -174.1689 	 1.112177 	 -5290.772 	 -5290.748 	 5.039336 	 -247.4456 
LCK 	 N2 	 0.2345807 	 0.15625 	 1.501316 	 1.412735 	 -174.5315 	 -172.4827 	 0.9852389 	 -9135.416 	 -9135.331 	 0.1075797 	 -424.5885 
LCK 	 N3 	 0.252376 	 0.15625 	 1.615206 	 1.427582 	 -168.5789 	 -163.842 	 0.9842663 	 -9414.507 	 -9414.325 	 0.08091719 	 -429.5712 
KLF5 	 U 	 Inf 	 0.2226852 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
KLF5 	 LR 	 0.4658793 	 0.2226852 	 2.092098 	 1.395376 	 -145.2307 	 -144.9641 	 2.143045 	 -3949.419 	 -3949.407 	 19.28419 	 -185.3078 
KLF5 	 N1 	 0.6138873 	 0.2226852 	 2.75675 	 1.399485 	 -131.0432 	 -130.4978 	 2.762493 	 -5265.622 	 -5265.598 	 5.16755 	 -246.2396 
KLF5 	 N2 	 0.7470594 	 0.2226852 	 3.354778 	 1.412735 	 -118.9309 	 -116.8821 	 3.13765 	 -7435.401 	 -7435.316 	 0.5878956 	 -343.0693 
KLF5 	 N3 	 0.8119138 	 0.2226852 	 3.646016 	 1.427582 	 -112.4921 	 -107.7553 	 3.166464 	 -7543.923 	 -7543.741 	 0.5243407 	 -339.8728 
KLF4 	 U 	 Inf 	 0.2381944 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
KLF4 	 LR 	 0.2937834 	 0.2381944 	 1.233376 	 1.395376 	 -167.3627 	 -167.0961 	 1.351404 	 -5951.951 	 -5951.939 	 2.608443 	 -281.3334 
KLF4 	 N1 	 0.2960306 	 0.2381944 	 1.242811 	 1.399485 	 -166.052 	 -165.5065 	 1.332138 	 -6694.51 	 -6694.486 	 1.239786 	 -314.7577 
KLF4 	 N2 	 0.3151131 	 0.2381944 	 1.322924 	 1.412735 	 -160.3651 	 -158.3164 	 1.323475 	 -7319.794 	 -7319.709 	 0.6598687 	 -337.5257 
KLF4 	 N3 	 0.3303359 	 0.2381944 	 1.386833 	 1.427582 	 -155.6578 	 -150.9209 	 1.28831 	 -7738.274 	 -7738.092 	 0.4318095 	 -349.1924 
NACC1 	 U 	 Inf 	 0.09444444 	 Inf 	 1.387571 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
NACC1 	 LR 	 0.1012507 	 0.09444444 	 1.072067 	 1.395376 	 -218.4944 	 -218.2277 	 0.4657534 	 -7855.593 	 -7855.581 	 0.3894631 	 -372.6169 
NACC1 	 N1 	 0.1066644 	 0.09444444 	 1.129388 	 1.399485 	 -215.0492 	 -214.5037 	 0.47999 	 -7943.206 	 -7943.182 	 0.3561119 	 -374.6353 
