Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
CCR7 	 0 	 0.4620157 	 0.5808856 	 0.152969 	 -0.2887663 	 0.5192942 	 0.1012758 	 -0.1000883 	 0.6856144 	 0.04688348 	 -282.2973 	 -10786.76 	Good
PRDM14 	 0 	 0.6048772 	 0.466745 	 0.1750281 	 -0.1005357 	 0.2834976 	 0.1693998 	 0.4572736 	 0.571799 	 0.07211536 	 -161.7179 	 -9161.409 	Good
COL3A1 	 0.989011 	 0.9934975 	 0.3544918 	 0.09580994 	 -1 	 0.3374509 	 0.1077607 	 -0.9949065 	 0.7140252 	 0.1595668 	 -143.2224 	 -9293.505 	Poor
GREM1 	 0.7912088 	 0.6912844 	 0.3286652 	 0.02905137 	 -0.4543268 	 0.1805022 	 0.06760611 	 -1 	 0.3134767 	 0.03803175 	 -143.2913 	 -8854.565 	Poor
DVL2 	 0.7142857 	 0.4569938 	 0.3091659 	 0.1750281 	 0.3198622 	 0.3422645 	 0.04001975 	 -0.6029434 	 0.3030617 	 0.08975682 	 -154.2105 	 -8829.646 	Poor
APOE 	 0.0989011 	 -0.1280363 	 0.3468093 	 0.03743603 	 0.6124623 	 0.6068071 	 0.102258 	 0.4131773 	 0.1772254 	 0.09097335 	 -174.5988 	 -9180.161 	Good
LRRN1 	 0 	 0.1000023 	 0.9297432 	 0.02661706 	 0.1492181 	 0.521343 	 0.1411334 	 0.9458841 	 0.9796275 	 0.1492665 	 -143.8574 	 -9606.208 	Poor
STAT3 	 0.8681319 	 -0.7631385 	 0.3823712 	 0.1237243 	 0.1001915 	 0.6168107 	 0.1750281 	 0.71276 	 0.3602702 	 0.09032892 	 -179.2173 	 -9450.157 	Poor
OTX2 	 0.03296703 	 0.7099638 	 0.9796275 	 0.1025833 	 0.971936 	 0.3687071 	 0.1750281 	 -0.8205072 	 0.3474 	 0.1146057 	 -134.4907 	 -8745.178 	Poor
CCND1 	 0.967033 	 -0.1009852 	 0.203369 	 0.04995089 	 0.6602404 	 0.586465 	 0.1750281 	 -0.5896761 	 0.6172108 	 0.1175803 	 -217.9743 	 -9346.057 	Good
STEMCCA.P2A 	 0.9340659 	 -0.186219 	 0.9249221 	 0.05164124 	 1 	 0.2432052 	 0.09890918 	 -0.9862565 	 0.234554 	 0.08517938 	 -158.4824 	 -9500.521 	Poor
TET2 	 0.3846154 	 -0.7745288 	 0.2435216 	 0.0726079 	 -0.5067254 	 0.7261901 	 0.1750281 	 1 	 0.2355699 	 0.1005858 	 -139.561 	 -8188.957 	Poor
KAT7..Myst. 	 0.6923077 	 0.165347 	 0.903918 	 0.1123239 	 0.2190288 	 0.3652186 	 0.1403512 	 -0.1004317 	 0.9785665 	 0.1750281 	 -186.8704 	 -8723.8 	Good
TDGF1 	 0.0989011 	 0.1522532 	 0.9237234 	 0.04669269 	 0.3152366 	 0.2367626 	 0.1434897 	 0.2230068 	 0.5281017 	 0.1750281 	 -89.97366 	 -8771.184 	Poor
MASP1 	 0.9120879 	 -0.7496374 	 0.256339 	 0.08058169 	 -0.2010641 	 0.525049 	 0.1750281 	 0.1005868 	 0.7299453 	 0.1052866 	 -134.2494 	 -8226.362 	Poor
KDR 	 0 	 0.4043382 	 0.253508 	 0.06443573 	 0.5066619 	 0.9479733 	 0.0809917 	 0.1001525 	 0.7525255 	 0.1750281 	 -160.6546 	 -8226.099 	Good
GDF3 	 0 	 -0.4135574 	 0.6940427 	 0.1750281 	 1 	 0.5772389 	 0.1167894 	 0.2905881 	 0.2871261 	 0.0903073 	 -152.3866 	 -9135.983 	Poor
NANOG 	 0.1648352 	 0.3706981 	 0.2946081 	 0.07601893 	 0.5417773 	 0.418489 	 0.1750281 	 -0.1004009 	 0.5172296 	 0.1226845 	 -153.6033 	 -9069.954 	Poor
ZIC3 	 0.03296703 	 -0.2834788 	 0.2351623 	 0.05480685 	 0.8931699 	 0.8306086 	 0.1750281 	 0.2633557 	 0.2159002 	 0.06685714 	 -150.929 	 -9096.836 	Poor
LIN28A 	 0.1978022 	 -0.3725872 	 0.2758025 	 0.1750281 	 0.3774368 	 0.1871331 	 0.1659269 	 0.8789638 	 0.7857373 	 0.1750281 	 -129.0761 	 -8202.527 	Poor
POU5F1 	 0.1978022 	 0.7269897 	 0.4121383 	 0.1099187 	 0.1003311 	 0.9796275 	 0.1750281 	 0.1135104 	 0.9796275 	 0.1750281 	 -146.6939 	 -7753.068 	Poor
