Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
LCK 	 0 	 0.1994712 	 0.3789486 	 0.1750281 	 0.6032756 	 0.9384634 	 0.08925317 	 -172.4827 	 -9135.331 	Poor
KLF5 	 0.3516484 	 0.4793827 	 0.2644497 	 0.05974697 	 -0.2047604 	 0.5746437 	 0.06677625 	 -116.8821 	 -7435.316 	Poor
KLF4 	 0.7582418 	 -0.1943397 	 0.1228569 	 0.06776022 	 -0.1152599 	 0.9363605 	 0.02686698 	 -158.3164 	 -7319.709 	Good
NACC1 	 0.7802198 	 0.1005293 	 0.8645623 	 0.1750281 	 0.133096 	 0.3259924 	 0.08795757 	 -212.0778 	 -8730.598 	Good
DNMT3L 	 0 	 -0.3440738 	 0.9205894 	 0.04772927 	 0.7005037 	 0.607939 	 0.1103002 	 -143.1669 	 -8691.29 	Poor
EZH2 	 0.1538462 	 1 	 0.720547 	 0.1750281 	 -0.594301 	 0.673068 	 0.09256754 	 -112.4873 	 -5310.074 	Poor
EED 	 0.2307692 	 0.1001669 	 0.3724823 	 0.1750281 	 -0.129216 	 0.8097461 	 0.1750281 	 -164.434 	 -7251.591 	Poor
SMARCC2 	 0.989011 	 0.10203 	 0.3805718 	 0.02945459 	 -0.1009699 	 0.1870369 	 0.06343515 	 -257.244 	 -9579.537 	Poor
NODAL 	 0.02197802 	 -0.4143472 	 0.4669206 	 0.1069911 	 1 	 0.5998031 	 0.1750281 	 -173.7767 	 -8420.872 	Good
CDH1 	 0.1428571 	 0.6330327 	 0.4916103 	 0.1500322 	 0.2134124 	 0.1186797 	 0.0765683 	 -173.4633 	 -8911.787 	Good
LEFTY2 	 0 	 0.7918165 	 0.365488 	 0.1078894 	 -0.3491076 	 0.8831026 	 0.07880396 	 -109.5622 	 -7926.966 	Poor
RIF1 	 0.6923077 	 0.1701726 	 0.3687655 	 0.03469028 	 0.1875783 	 0.9796275 	 0.1385066 	 -186.0485 	 -6869.638 	Good
ETV5 	 0.3736264 	 -1 	 0.3250935 	 0.1440309 	 0.9573002 	 0.3043175 	 0.1750281 	 -163.8648 	 -6935.126 	Good
DNMT3B 	 0.1098901 	 0.3697356 	 0.2888875 	 0.09180338 	 0.5207344 	 0.5377013 	 0.1380223 	 -184.2888 	 -8128.313 	Good
KDM5A 	 0.7802198 	 0.2687698 	 0.7275164 	 0.1750281 	 -0.173002 	 0.13037 	 0.06330509 	 -176.8362 	 -7598.948 	Good
JARID2 	 0.5164835 	 0.3960349 	 0.2267289 	 0.1227415 	 0.1002482 	 0.7075418 	 0.1750281 	 -193.3177 	 -8695.63 	Good
LOX 	 1 	 -0.4621237 	 0.2417044 	 0.06873273 	 -0.3918889 	 0.5631134 	 0.07515031 	 -174.8928 	 -9055.448 	Good
Wnt3 	 0 	 -0.8119013 	 0.6952984 	 0.05939957 	 1 	 0.6971132 	 0.06870448 	 -230.9718 	 -10557.51 	Good
Gata6 	 0.1318681 	 0.1009992 	 0.3328989 	 0.04503014 	 -0.1319616 	 0.6434563 	 0.1750281 	 -183.9401 	 -8101.115 	Poor
DPPA2 	 0 	 0.1009575 	 0.6482799 	 0.03985317 	 0.3920424 	 0.802931 	 0.07650427 	 -176.091 	 -10187.53 	Poor
SALL1 	 0.6263736 	 0.2702037 	 0.2899899 	 0.06921101 	 -0.1000983 	 0.5680592 	 0.04851026 	 -154.3809 	 -7590.711 	Poor
NR0B1.DAX1. 	 0.01098901 	 1 	 0.3157142 	 0.1067429 	 -0.9795811 	 0.3141411 	 0.1008258 	 -257.1806 	 -10354.77 	Poor
TCF3 	 0.3406593 	 1 	 0.7547228 	 0.1750281 	 -0.5279637 	 0.6720651 	 0.08311566 	 -144.9023 	 -5881.104 	Poor
PTPN6 	 0.02197802 	 0.4532043 	 0.7681467 	 0.1750281 	 -0.1005128 	 0.9459335 	 0.04528515 	 -184.9474 	 -9017.741 	Poor
USP16 	 0.8021978 	 0.1456556 	 0.3643561 	 0.07367491 	 -0.1005805 	 0.4623549 	 0.1750281 	 -187.8771 	 -8634.188 	Good
SETD1A 	 0.7142857 	 0.1237769 	 0.8160514 	 0.06217255 	 0.1231821 	 0.3298196 	 0.04880862 	 -180.7792 	 -7015.048 	Poor
HDAC2 	 0.7032967 	 1 	 0.3443495 	 0.03217339 	 -0.7336555 	 0.3483045 	 0.02415339 	 -194.4501 	 -8722.623 	Poor
LUM 	 0.989011 	 -0.1294741 	 0.6714438 	 0.1750281 	 -0.8290008 	 0.2859616 	 0.06794661 	 -149.1409 	 -8594.831 	Poor
SOX13 	 0.3296703 	 0.3099615 	 0.3879368 	 0.05379354 	 0.4661289 	 0.9751486 	 0.1750281 	 -172.6676 	 -6629.922 	Good
SMAD4 	 0.8131868 	 0.2152159 	 0.758593 	 0.1750281 	 -0.1005976 	 0.4520876 	 0.1750281 	 -168.2304 	 -7583.772 	Poor
SEMA6A 	 0 	 0.5125055 	 0.4902842 	 0.1750281 	 0.4905089 	 0.2933547 	 0.08356498 	 -162.6823 	 -8243.598 	Poor
GAL 	 0.1538462 	 0.6996973 	 0.397681 	 0.1750281 	 -0.1008126 	 0.9076108 	 0.01912467 	 -127.9991 	 -7649.82 	Poor
SALL4 	 0.1098901 	 0.3660919 	 0.4824686 	 0.1750281 	 0.5199683 	 0.2572708 	 0.1076726 	 -162.9488 	 -8894.077 	Poor
HESX1 	 0.01098901 	 0.373657 	 0.8393385 	 0.1744986 	 -0.100642 	 0.7552884 	 0.03654351 	 -194.5599 	 -8029.704 	Poor
CCR7 	 0 	 1 	 0.6270495 	 0.1750281 	 -0.9136725 	 0.6165617 	 0.1599696 	 -287.8738 	 -10562.29 	Good
PRDM14 	 0 	 0.8473988 	 0.5601373 	 0.09733152 	 0.1083854 	 0.3143466 	 0.0751937 	 -170.0811 	 -8976.252 	Good
COL3A1 	 0.989011 	 -0.1000986 	 0.2499429 	 0.1750281 	 -0.8602132 	 0.7271417 	 0.1268993 	 -152.4011 	 -7973.608 	Poor
GREM1 	 0.7912088 	 -0.3063866 	 0.278617 	 0.02588368 	 -0.4559265 	 0.180321 	 0.06699822 	 -151.4465 	 -8758.957 	Poor
DVL2 	 0.7142857 	 -0.2271534 	 0.2220613 	 0.04746145 	 0.3974191 	 0.2894857 	 0.1627766 	 -162.3098 	 -8411.581 	Poor
APOE 	 0.0989011 	 0.5627605 	 0.617836 	 0.08844511 	 0.3304531 	 0.1485052 	 0.06803722 	 -185.2566 	 -8132.784 	Good
LRRN1 	 0 	 0.2206279 	 0.5965831 	 0.1750281 	 0.9427082 	 0.9711894 	 0.108766 	 -152.7418 	 -9471.241 	Poor
STAT3 	 0.8681319 	 -0.9587989 	 0.5274408 	 0.07951839 	 1 	 0.5193128 	 0.09500362 	 -190.5654 	 -8477.503 	Poor
OTX2 	 0.03296703 	 0.2490723 	 0.7095959 	 0.1750281 	 0.4396284 	 0.958099 	 0.06952986 	 -140.2062 	 -6530.867 	Poor
CCND1 	 0.967033 	 0.9441866 	 0.3942746 	 0.09539325 	 -1 	 0.3945664 	 0.1234842 	 -228.827 	 -8701.013 	Good
STEMCCA.P2A 	 0.9340659 	 -0.5084178 	 0.941244 	 0.09525531 	 0.3761831 	 0.9796275 	 0.1735436 	 -170.6173 	 -7852.485 	Poor
TET2 	 0.3846154 	 0.1979613 	 0.1565235 	 0.1585444 	 -0.495804 	 0.7507395 	 0.1750281 	 -148.3207 	 -7628.408 	Poor
KAT7..Myst. 	 0.6923077 	 0.1637299 	 0.9796275 	 0.1437873 	 0.2161825 	 0.3617315 	 0.1403919 	 -195.6739 	 -8768.072 	Good
TDGF1 	 0.0989011 	 0.4791086 	 0.3107219 	 0.1750281 	 0.3687383 	 0.9796275 	 0.1593159 	 -98.99416 	 -8474.502 	Poor
MASP1 	 0.9120879 	 -0.1828832 	 0.2751378 	 0.02454428 	 -0.6793175 	 0.2705912 	 0.1148953 	 -144.6218 	 -8261.749 	Poor
KDR 	 0 	 0.802427 	 0.9796275 	 0.1257526 	 0.4193418 	 0.257334 	 0.06853026 	 -168.3322 	 -8013.752 	Good
GDF3 	 0 	 0.4921613 	 0.573482 	 0.06889246 	 0.4436271 	 0.340293 	 0.1158382 	 -162.5495 	 -8213.9 	Poor
NANOG 	 0.1648352 	 0.1003123 	 0.845002 	 0.1750281 	 0.7537128 	 0.3220579 	 0.1143683 	 -162.4043 	 -8363.952 	Poor
ZIC3 	 0.03296703 	 -0.1001794 	 0.555979 	 0.1608724 	 0.9270063 	 0.8006283 	 0.1750281 	 -157.8996 	 -8273.308 	Poor
LIN28A 	 0.1978022 	 0.1009174 	 0.1138846 	 0.1750281 	 0.7064737 	 0.7912375 	 0.12918 	 -138.306 	 -7545.388 	Poor
POU5F1 	 0.1978022 	 0.591765 	 0.45969 	 0.1409873 	 0.1964679 	 0.3578131 	 0.05401872 	 -155.12 	 -8265.346 	Poor
