Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
LATS2 	 0.7472527 	 -0.2941603 	 0.1990741 	 0.08002909 	 0.3071332 	 0.6317615 	 0.1410897 	 -148.1835 	 -8420.546 	Poor
FGF2 	 0.9010989 	 0.3343309 	 0.7996639 	 0.1019892 	 -0.2976128 	 0.2238701 	 0.1430484 	 -147.4903 	 -7821.752 	Poor
LCK 	 0 	 0.199468 	 0.3789222 	 0.1750281 	 0.6033991 	 0.9384859 	 0.08926648 	 -172.4833 	 -9135.331 	Poor
KLF5 	 0.3516484 	 0.4793825 	 0.26445 	 0.05974509 	 -0.2047588 	 0.5746409 	 0.06677162 	 -116.8819 	 -7435.316 	Poor
KLF4 	 0.7582418 	 -0.1943396 	 0.1228573 	 0.06775932 	 -0.1152518 	 0.936356 	 0.02686705 	 -158.3163 	 -7319.709 	Good
NACC1 	 0.7802198 	 0.1004454 	 0.8669606 	 0.1749978 	 0.1335648 	 0.3265168 	 0.08837293 	 -212.0547 	 -8730.55 	Good
DNMT3L 	 0 	 0.7004922 	 0.6079367 	 0.1102956 	 -0.3440958 	 0.9206017 	 0.04773555 	 -143.1666 	 -8691.289 	Poor
EZH2 	 0.1538462 	 0.1017738 	 0.04961702 	 0.03089929 	 0.618853 	 0.9796275 	 0.09164228 	 -116.3113 	 -7106.423 	Poor
EED 	 0.2307692 	 0.1000741 	 0.3020298 	 0.1750281 	 -0.1293115 	 0.7988823 	 0.1750281 	 -164.4625 	 -7311.52 	Poor
SMARCC2 	 0.989011 	 0.4174902 	 0.334419 	 0.07603992 	 -0.4148365 	 0.2852509 	 0.09131655 	 -256.6849 	 -9391.924 	Poor
NODAL 	 0.02197802 	 -0.4143461 	 0.4669214 	 0.1069923 	 1 	 0.5998038 	 0.1750281 	 -173.7768 	 -8420.872 	Good
CDH1 	 0.1428571 	 0.2134164 	 0.1186824 	 0.07657161 	 0.6330274 	 0.4916105 	 0.1500301 	 -173.4631 	 -8911.787 	Good
LEFTY2 	 0 	 -0.3491416 	 0.8831149 	 0.07881448 	 0.7918153 	 0.3654876 	 0.1078905 	 -109.5627 	 -7926.966 	Poor
RIF1 	 0.6923077 	 0.5055351 	 0.2795884 	 0.1188643 	 -0.3074509 	 0.1610396 	 0.0758615 	 -177.1613 	 -7480.015 	Poor
ETV5 	 0.3736264 	 -0.1999039 	 0.9796275 	 0.04838569 	 -0.100954 	 0.9796275 	 0.009863183 	 -164.3644 	 -5463.165 	Good
DNMT3B 	 0.1098901 	 0.7777452 	 0.4619528 	 0.1725989 	 0.1146236 	 0.2484322 	 0.02648317 	 -184.1116 	 -8204.698 	Good
KDM5A 	 0.7802198 	 0.2687701 	 0.7275139 	 0.1750281 	 -0.173004 	 0.1303719 	 0.06330334 	 -176.836 	 -7598.948 	Good
JARID2 	 0.5164835 	 0.1003278 	 0.7010224 	 0.1750281 	 0.3948484 	 0.2265829 	 0.121719 	 -193.2417 	 -8694.458 	Good
LOX 	 1 	 -0.3918861 	 0.5631138 	 0.0751502 	 -0.4621262 	 0.2417054 	 0.06873359 	 -174.8927 	 -9055.448 	Good
Wnt3 	 0 	 0.4088904 	 0.6999049 	 0.07691193 	 -0.2204359 	 0.6950673 	 0.04916766 	 -230.8976 	 -10546.09 	Good
Gata6 	 0.1318681 	 -1 	 0.3767021 	 0.1750281 	 0.9841436 	 0.3533162 	 0.1408362 	 -184.3222 	 -8295.31 	Poor
DPPA2 	 0 	 1 	 0.7941615 	 0.1280501 	 -0.5572552 	 0.8451552 	 0.1750281 	 -175.7115 	 -9887.514 	Poor
SALL1 	 0.6263736 	 0.1971342 	 0.2602478 	 0.04149582 	 0.1004084 	 0.9796275 	 0.02869492 	 -156.7239 	 -6565.263 	Poor
NR0B1.DAX1. 	 0.01098901 	 0.374712 	 0.3174745 	 0.111811 	 -0.3542866 	 0.3131984 	 0.09578812 	 -257.1921 	 -10351.27 	Poor
TCF3 	 0.3406593 	 0.4041425 	 0.9240196 	 0.06047767 	 0.1005067 	 0.09689195 	 0.1703328 	 -153.1646 	 -7272.185 	Poor
PTPN6 	 0.02197802 	 -0.100655 	 0.942283 	 0.04287405 	 0.4568599 	 0.7693115 	 0.1750281 	 -184.9315 	 -9014.73 	Poor
USP16 	 0.8021978 	 0.398241 	 0.4348349 	 0.05701355 	 -0.3450779 	 0.4600209 	 0.04970199 	 -188.4515 	 -8558.588 	Good
SETD1A 	 0.7142857 	 -0.5342399 	 0.5536258 	 0.08062218 	 0.7849055 	 0.5576244 	 0.1750281 	 -177.9346 	 -7632.79 	Poor
HDAC2 	 0.7032967 	 0.2529406 	 0.3254813 	 0.04259255 	 0.1000018 	 0.9796275 	 0.1565296 	 -196.6172 	 -8550.583 	Poor
LUM 	 0.989011 	 -0.829005 	 0.285962 	 0.0679483 	 -0.1294639 	 0.6714441 	 0.1750281 	 -149.1409 	 -8594.831 	Poor
SOX13 	 0.3296703 	 0.4661222 	 0.9751444 	 0.1750281 	 0.3099607 	 0.3879366 	 0.05379285 	 -172.6677 	 -6629.922 	Good
SMAD4 	 0.8131868 	 0.2194988 	 0.7588281 	 0.1750281 	 -0.1005904 	 0.4399648 	 0.1750281 	 -167.9951 	 -7590.79 	Poor
SEMA6A 	 0 	 0.7222089 	 0.3119976 	 0.100748 	 0.2785707 	 0.5997975 	 0.1219387 	 -163.6002 	 -8238.005 	Poor
GAL 	 0.1538462 	 0.7098329 	 0.4018024 	 0.1750281 	 -0.2321277 	 0.9796275 	 0.1126456 	 -127.2383 	 -7603.382 	Poor
SALL4 	 0.1098901 	 0.5199735 	 0.2572714 	 0.1076734 	 0.3660892 	 0.4824728 	 0.1750281 	 -162.9486 	 -8894.077 	Poor
HESX1 	 0.01098901 	 0.165426 	 0.9383684 	 0.02951571 	 0.1000789 	 0.6644417 	 0.1750281 	 -192.8499 	 -9038.922 	Poor
CCR7 	 0 	 1 	 0.6270387 	 0.1750281 	 -0.9136732 	 0.6165511 	 0.1599699 	 -287.8738 	 -10562.29 	Good
PRDM14 	 0 	 0.1082976 	 0.3142921 	 0.07514633 	 0.8474908 	 0.5601236 	 0.09734245 	 -170.0808 	 -8976.252 	Good
COL3A1 	 0.989011 	 -0.1003663 	 0.2477082 	 0.1750281 	 -0.8608165 	 0.7274469 	 0.1271267 	 -152.4852 	 -7970.779 	Poor
GREM1 	 0.7912088 	 -0.4558809 	 0.1803117 	 0.06698646 	 -0.3064297 	 0.2786229 	 0.02588517 	 -151.4477 	 -8758.957 	Poor
DVL2 	 0.7142857 	 1 	 0.5178105 	 0.1012174 	 -0.8217353 	 0.5308103 	 0.08488703 	 -164.057 	 -7313.26 	Poor
APOE 	 0.0989011 	 0.3304539 	 0.1485055 	 0.06803833 	 0.5627597 	 0.6178366 	 0.08844496 	 -185.2568 	 -8132.784 	Good
LRRN1 	 0 	 0.943209 	 0.9712558 	 0.1087689 	 0.2206548 	 0.5965796 	 0.1750281 	 -152.745 	 -9471.24 	Poor
STAT3 	 0.8681319 	 -0.8360964 	 0.5278298 	 0.07833648 	 0.8772604 	 0.5185273 	 0.09599665 	 -190.5768 	 -8475.637 	Poor
OTX2 	 0.03296703 	 0.4390002 	 0.9579816 	 0.06944141 	 0.2491318 	 0.7096245 	 0.1750281 	 -140.2067 	 -6530.867 	Poor
CCND1 	 0.967033 	 0.9441866 	 0.3942841 	 0.09540514 	 -1 	 0.3945759 	 0.1234925 	 -228.8291 	 -8701.013 	Good
STEMCCA.P2A 	 0.9340659 	 0.2610674 	 0.9489492 	 0.1714384 	 -0.4307331 	 0.9361222 	 0.09072125 	 -170.6054 	 -7852.613 	Poor
TET2 	 0.3846154 	 0.1979628 	 0.1565256 	 0.1585473 	 -0.4958062 	 0.7507389 	 0.1750281 	 -148.3207 	 -7628.408 	Poor
KAT7..Myst. 	 0.6923077 	 -0.7143558 	 0.57045 	 0.1322158 	 1 	 0.5450402 	 0.1750281 	 -195.2094 	 -8583.311 	Good
TDGF1 	 0.0989011 	 0.4791083 	 0.3107218 	 0.1750281 	 0.3687386 	 0.9796275 	 0.1593168 	 -98.99415 	 -8474.502 	Poor
MASP1 	 0.9120879 	 -0.8539372 	 0.2694834 	 0.09297061 	 -0.1003423 	 0.9796275 	 0.03026482 	 -145.7343 	 -7446.933 	Poor
KDR 	 0 	 0.4193405 	 0.2573335 	 0.06853145 	 0.8024224 	 0.9796275 	 0.1257547 	 -168.3323 	 -8013.752 	Good
GDF3 	 0 	 0.4436242 	 0.3402935 	 0.1158381 	 0.4921657 	 0.5734807 	 0.06889189 	 -162.5484 	 -8213.9 	Poor
NANOG 	 0.1648352 	 0.4127669 	 0.4002118 	 0.1750281 	 0.397173 	 0.2938942 	 0.07650341 	 -162.0955 	 -9064.645 	Poor
ZIC3 	 0.03296703 	 0.9366041 	 0.8007444 	 0.1750281 	 -0.1001477 	 0.5450043 	 0.1474962 	 -157.3464 	 -8247.153 	Poor
LIN28A 	 0.1978022 	 0.7076488 	 0.7909711 	 0.1293939 	 0.1000799 	 0.113302 	 0.1750281 	 -138.2761 	 -7562.849 	Poor
POU5F1 	 0.1978022 	 0.7196872 	 0.4112772 	 0.1121381 	 0.1007421 	 0.7848756 	 0.1750281 	 -155.3289 	 -8067.648 	Poor
