Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
LUM 	 0.989011 	 -0.9056392 	 0.2973555 	 0.08222549 	 -151.8516 	 -6959.455 	Poor
SOX13 	 0.3296703 	 0.4159272 	 0.4515765 	 0.1184035 	 -179.0384 	 -5554.216 	Good
SMAD4 	 0.8131868 	 0.1635421 	 0.9248524 	 0.09779632 	 -180.0778 	 -6920.935 	Poor
SEMA6A 	 0 	 0.9784428 	 0.3728951 	 0.1590949 	 -165.9623 	 -6955.984 	Poor
GAL 	 0.1538462 	 0.6690068 	 0.3850088 	 0.1643658 	 -137.1286 	 -6882.876 	Poor
SALL4 	 0.1098901 	 0.8670585 	 0.3314563 	 0.1668271 	 -166.2241 	 -7600.787 	Poor
HESX1 	 0.01098901 	 0.3777052 	 0.9491795 	 0.1750281 	 -191.7515 	 -7694.64 	Poor
CCR7 	 0 	 0.1003696 	 0.8334495 	 0.1750281 	 -291.7836 	 -9141.947 	Good
PRDM14 	 0 	 0.9656206 	 0.5402974 	 0.1221186 	 -179.3479 	 -8088.284 	Good
COL3A1 	 0.989011 	 -1 	 0.7108132 	 0.1672097 	 -158.2803 	 -6808.535 	Poor
GREM1 	 0.7912088 	 -0.7657605 	 0.225021 	 0.07587821 	 -159.5339 	 -7717.585 	Poor
DVL2 	 0.7142857 	 0.1784551 	 0.4381785 	 0.1750281 	 -173.6963 	 -7219.893 	Poor
APOE 	 0.0989011 	 0.8544055 	 0.4561718 	 0.1750281 	 -190.5756 	 -4464.259 	Good
LRRN1 	 0 	 0.9593055 	 0.8940225 	 0.1750281 	 -148.1475 	 -6522.565 	Poor
STAT3 	 0.8681319 	 0.1005144 	 0.8853598 	 0.1750281 	 -198.5261 	 -6911.517 	Poor
OTX2 	 0.03296703 	 0.6774605 	 0.8982989 	 0.1750281 	 -143.6212 	 -6207.94 	Poor
CCND1 	 0.967033 	 -0.1001439 	 0.7822849 	 0.1750281 	 -241.3948 	 -6812.827 	Good
STEMCCA.P2A 	 0.9340659 	 -0.165307 	 0.9279388 	 0.04349805 	 -179.8385 	 -7681.216 	Poor
TET2 	 0.3846154 	 -0.2601747 	 0.8355406 	 0.07867853 	 -159.3981 	 -4449.024 	Poor
KAT7..Myst. 	 0.6923077 	 0.2512746 	 0.4048749 	 0.1750281 	 -201.7906 	 -7884.723 	Good
TDGF1 	 0.0989011 	 0.5463245 	 0.353241 	 0.1750281 	 -104.7699 	 -6350.102 	Poor
MASP1 	 0.9120879 	 -0.8595188 	 0.2707029 	 0.09465142 	 -152.4181 	 -7796.79 	Poor
KDR 	 0 	 0.5474492 	 0.3329883 	 0.1750281 	 -182.0926 	 -4791.675 	Good
GDF3 	 0 	 0.9548062 	 0.4761533 	 0.1600294 	 -176.7421 	 -6838.877 	Good
NANOG 	 0.1648352 	 0.7947238 	 0.3338566 	 0.1282301 	 -166.1418 	 -7894.622 	Poor
ZIC3 	 0.03296703 	 0.8251145 	 0.8231462 	 0.156934 	 -167.5835 	 -8196.056 	Poor
LIN28A 	 0.1978022 	 0.8531707 	 0.7707262 	 0.1750281 	 -143.6763 	 -6139.034 	Poor
POU5F1 	 0.1978022 	 0.7799072 	 0.42627 	 0.1275004 	 -162.4112 	 -7796.055 	Poor
