Gene	Baseline	Slope	AICC	FineAICC	Passes F-Test?
CDH1 	 0.1560388 	 0.9923988 	 -192.7815 	 -5633.053 	Good
LEFTY2 	 0.04051567 	 0.8391973 	 -143.4936 	 -3417.924 	Poor
RIF1 	 0.6216906 	 0.3524959 	 -196.4972 	 -6114.634 	Good
ETV5 	 0.424906 	 -0.1251096 	 -177.8503 	 -6195.512 	Good
DNMT3B 	 0.1143985 	 1 	 -201.4448 	 -4823.729 	Good
KDM5A 	 0.6187755 	 0.1701281 	 -194.8249 	 -5376.063 	Good
JARID2 	 0.6062887 	 0.4903058 	 -210.8898 	 -5628.727 	Good
LOX 	 0.9779681 	 -1 	 -207.6868 	 -4957.359 	Good
Wnt3 	 0 	 0.1400682 	 -236.4906 	 -6257.033 	Good
Gata6 	 0.1459064 	 -0.001073415 	 -203.3042 	 -6482.721 	Good
DPPA2 	 0 	 0.2931867 	 -215.4812 	 -4269.753 	Good
SALL1 	 0.6801686 	 0.1901543 	 -166.4497 	 -5274.708 	Poor
NR0B1.DAX1. 	 0.01402594 	 0.01879609 	 -268.3637 	 -9679.99 	Poor
TCF3 	 0.3429548 	 0.211574 	 -162.3563 	 -5198.043 	Good
PTPN6 	 0 	 0.2871517 	 -198.2544 	 -5528.469 	Good
USP16 	 0.8069425 	 0.06666111 	 -199.6113 	 -7216.29 	Good
SETD1A 	 0.715351 	 0.2249431 	 -195.3122 	 -6549.838 	Good
HDAC2 	 0.693334 	 0.3699798 	 -198.1517 	 -5642.224 	Poor
LUM 	 0.8542715 	 -1 	 -177.3184 	 -3538.501 	Poor
SOX13 	 0.2077601 	 0.6709841 	 -185.1687 	 -5527.763 	Good
SMAD4 	 0.7776795 	 0.0715208 	 -182.529 	 -6364.514 	Poor
SEMA6A 	 0.1100476 	 1 	 -194.2688 	 -4044.742 	Good
GAL 	 0.1655087 	 0.8072289 	 -148.3491 	 -4841.731 	Poor
SALL4 	 0.1855554 	 1 	 -198.2842 	 -4554.068 	Good
HESX1 	 0 	 0.1275659 	 -208.1291 	 -6580.434 	Poor
CCR7 	 0 	 0.05194836 	 -301.9765 	 -8989.748 	Good
PRDM14 	 0 	 1 	 -199.6391 	 -3602.067 	Good
COL3A1 	 1 	 -0.7401118 	 -179.6429 	 -3576.124 	Good
GREM1 	 0.5829355 	 -0.7719597 	 -199.9049 	 -3620.846 	Good
DVL2 	 0.7145674 	 0.2081214 	 -180.3042 	 -6932.022 	Poor
APOE 	 0.09521001 	 1 	 -231.7178 	 -5348.818 	Good
LRRN1 	 0 	 0.3590033 	 -180.1543 	 -4194.803 	Poor
STAT3 	 0.8604888 	 0.0620923 	 -201.2697 	 -7396.344 	Poor
OTX2 	 0 	 0.3020784 	 -157.8115 	 -4911.183 	Poor
CCND1 	 0.9555671 	 -0.04221457 	 -246.0708 	 -7220.107 	Good
STEMCCA.P2A 	 0.9452913 	 -0.04771684 	 -184.9393 	 -6525.13 	Poor
TET2 	 0.5902203 	 -0.3370564 	 -171.8611 	 -4707.545 	Good
KAT7..Myst. 	 0.6787819 	 0.3261617 	 -206.9017 	 -7666.107 	Good
TDGF1 	 0.1214583 	 0.6675807 	 -107.3973 	 -6816.088 	Poor
MASP1 	 0.7740783 	 -0.9762174 	 -188.0902 	 -3574.559 	Good
KDR 	 0.000748356 	 0.7192692 	 -183.9114 	 -5205.064 	Good
GDF3 	 0.002582106 	 1 	 -199.9956 	 -4108.227 	Good
NANOG 	 0.1922536 	 1 	 -196.3417 	 -4322.486 	Good
ZIC3 	 0 	 0.4436859 	 -205.7644 	 -3927.429 	Good
LIN28A 	 0.07649512 	 0.7049062 	 -166.2643 	 -4304.933 	Good
POU5F1 	 0.1447875 	 1 	 -180.7712 	 -4609.641 	Poor
