Gene	Baseline	Scale1	Mean1	Stdev1	AICC	FineAICC	Passes F-Test?
LRRN1 	 0 	 1 	 0.8609892 	 0.1774006 	 -77.7208 	 -6352.002 	Poor
STAT3 	 0.9117647 	 0.1000331 	 0.9873415 	 0.009461363 	 -109.3421 	 -7262.453 	Poor
OTX2 	 0.04411765 	 1 	 0.9379139 	 0.1516061 	 -68.21909 	 -5388.573 	Poor
CCND1 	 0.9558824 	 -0.100174 	 0.9873415 	 0.03038973 	 -143.22 	 -7235.228 	Good
STEMCCA_P2A 	 0.9117647 	 -0.1858131 	 0.9103744 	 0.03198401 	 -90.78292 	 -6529.34 	Poor
TET2 	 0.3529412 	 -0.2180796 	 0.8482069 	 0.04245959 	 -81.53415 	 -3608.782 	Poor
KAT7_Myst 	 0.6470588 	 0.2963649 	 0.3418183 	 0.1774006 	 -115.2743 	 -6806.387 	Good
TDGF1 	 0.1176471 	 0.944868 	 0.9323243 	 0.1774006 	 -58.45581 	 -4583.124 	Poor
MASP1 	 0.9411765 	 -0.8833131 	 0.2994179 	 0.1262938 	 -84.40371 	 -6757.732 	Poor
KDR 	 0 	 0.5384038 	 0.3626512 	 0.1774006 	 -117.2618 	 -4562.122 	Good
GDF3 	 0 	 0.9295539 	 0.4565935 	 0.1589309 	 -95.2722 	 -6553.508 	Poor
NANOG 	 0.1911765 	 0.7669913 	 0.3117892 	 0.1029813 	 -97.54736 	 -8072.354 	Poor
ZIC3 	 0.04411765 	 0.7478972 	 0.8240858 	 0.1112253 	 -82.34628 	 -7657.043 	Poor
LIN28A 	 0.2205882 	 0.7021505 	 0.6344521 	 0.1774006 	 -92.45013 	 -4933.836 	Good
POU5F1 	 0.2352941 	 0.7583689 	 0.4155118 	 0.1201408 	 -92.43477 	 -7183.917 	Poor
