Gene	Baseline	Slope	AICC	FineAICC	Passes F-Test?
KLF4 	 0.7012014 	 -0.1279601 	 -91.84628 	 -5271.673 	Poor
NACC1 	 0.6908274 	 0.3134852 	 -122.6385 	 -7244.636 	Good
DNMT3L 	 0 	 0.5757736 	 -91.66366 	 -3785.306 	Poor
EZH2 	 0.3499923 	 0.2800971 	 -111.5048 	 -5452.049 	Good
EED 	 0.2850264 	 0.001973065 	 -106.5646 	 -5880.011 	Good
SMARCC2 	 0.9465508 	 0.05547861 	 -163.6713 	 -7265.742 	Poor
NODAL 	 0 	 0.5539013 	 -111.8853 	 -4137.092 	Good
CDH1 	 0.1612645 	 1 	 -104.1 	 -4916.174 	Good
LEFTY2 	 0.02756166 	 0.8127345 	 -72.80277 	 -3361.947 	Poor
RIF1 	 0.6485073 	 0.3250565 	 -98.73148 	 -5226.287 	Poor
ETV5 	 0.3334026 	 -0.006572183 	 -105.1015 	 -5994.945 	Good
DNMT3B 	 0.1680975 	 1 	 -109.9144 	 -4172.193 	Good
KDM5A 	 0.5944074 	 0.2339531 	 -107.9852 	 -5354.244 	Good
JARID2 	 0.5683239 	 0.5588197 	 -105.9715 	 -5029.92 	Good
LOX 	 0.9915669 	 -1 	 -120.186 	 -4809.916 	Good
Wnt3 	 0 	 0.189816 	 -139.1686 	 -5909.746 	Good
Gata6 	 0.2203196 	 -0.01726078 	 -118.4502 	 -5642.726 	Good
DPPA2 	 0 	 0.2850938 	 -117.3266 	 -4348.407 	Good
SALL1 	 0.6199088 	 0.3203128 	 -97.19076 	 -5225.844 	Poor
TCF3 	 0.3810589 	 0.2761719 	 -104.097 	 -4894.85 	Good
PTPN6 	 0 	 0.3493183 	 -121.0578 	 -5165.35 	Good
USP16 	 0.7759992 	 0.09896916 	 -123.2449 	 -6289.875 	Good
SETD1A 	 0.6665779 	 0.3263088 	 -103.8817 	 -6482.724 	Poor
HDAC2 	 0.6094878 	 0.4563806 	 -113.3506 	 -4992.997 	Good
LUM 	 0.9074349 	 -1 	 -99.80957 	 -4109.688 	Poor
SOX13 	 0.2032938 	 0.7705766 	 -108.2507 	 -4552.595 	Good
SMAD4 	 0.8148103 	 0.1325312 	 -118.324 	 -6732.987 	Good
SEMA6A 	 0.06196229 	 1 	 -124.3822 	 -4439.085 	Good
GAL 	 0.1463806 	 0.8206833 	 -79.33783 	 -4277.783 	Poor
SALL4 	 0.1606137 	 1 	 -113.6433 	 -4755.069 	Good
HESX1 	 0 	 0.09850332 	 -119.7526 	 -6355.088 	Poor
PRDM14 	 0 	 1 	 -119.8341 	 -3959.248 	Good
COL3A1 	 1 	 -0.7933997 	 -103.1418 	 -3425.472 	Good
GREM1 	 0.605144 	 -0.8040943 	 -113.8591 	 -3706.707 	Good
DVL2 	 0.7562312 	 0.1816658 	 -103.1067 	 -6763.237 	Poor
APOE 	 0.0982872 	 1 	 -122.5796 	 -5626.414 	Good
LRRN1 	 0 	 0.4347355 	 -95.26425 	 -3922.727 	Poor
STAT3 	 0.8850417 	 0.0317832 	 -111.5199 	 -7661.157 	Poor
OTX2 	 0.01057029 	 0.3393463 	 -84.60469 	 -4141.843 	Poor
CCND1 	 0.9614077 	 -0.03279165 	 -146.5474 	 -7653.879 	Good
STEMCCA_P2A 	 0.9180004 	 -0.0726168 	 -98.12197 	 -5952.747 	Poor
TET2 	 0.6165368 	 -0.3393366 	 -87.77519 	 -4221.491 	Poor
KAT7_Myst 	 0.6515617 	 0.377296 	 -119.5958 	 -6987.726 	Good
TDGF1 	 0.1265004 	 0.326862 	 -69.37698 	 -4570.223 	Poor
MASP1 	 0.8257628 	 -1 	 -105.3683 	 -3787.607 	Good
KDR 	 0 	 0.6946274 	 -117.2864 	 -5253.002 	Good
GDF3 	 0.004578776 	 1 	 -108.4341 	 -4126.193 	Good
NANOG 	 0.2401537 	 0.9539939 	 -105.1165 	 -4002.352 	Good
ZIC3 	 0 	 0.4243466 	 -109.196 	 -3844.126 	Good
LIN28A 	 0.157034 	 0.7259389 	 -106.2031 	 -5155.721 	Good
POU5F1 	 0.1841384 	 1 	 -111.6139 	 -4550.784 	Good
