Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	Scale3	Mean3	Stdev3	AICC	FineAICC	Passes F-Test?
RNF2 	 0.6617647 	 1 	 0.2850147 	 0.1169359 	 -0.8462218 	 0.2634477 	 0.06494883 	 0.1786566 	 0.7588646 	 0.09421013 	 -87.81244 	 -8173.568 	Poor
LATS2 	 0.7352941 	 -0.1007373 	 0.4935017 	 0.02724132 	 -0.2359291 	 0.2018428 	 0.1178146 	 0.4313353 	 0.6158491 	 0.1774006 	 -84.64367 	 -8045.51 	Good
FGF2 	 0.8970588 	 1 	 0.6172677 	 0.1774006 	 -0.7887601 	 0.5504556 	 0.09254972 	 -0.1571484 	 0.1489039 	 0.07304521 	 -72.69604 	 -8123.954 	Poor
LCK 	 0 	 -0.1001285 	 0.717704 	 0.04537277 	 0.7566595 	 0.964689 	 0.1261251 	 0.2758697 	 0.4218073 	 0.172231 	 -83.52642 	 -8632.436 	Good
KLF5 	 0.3823529 	 0.5308156 	 0.7596901 	 0.06800891 	 -1 	 0.7919964 	 0.1774006 	 0.5806646 	 0.2578402 	 0.0536187 	 -48.99178 	 -7932.676 	Poor
KLF4 	 0.7941176 	 0.1200143 	 0.4559948 	 0.0214724 	 -0.3227313 	 0.9273202 	 0.08291304 	 -0.2311612 	 0.1585291 	 0.06470129 	 -65.63245 	 -7961.64 	Poor
NACC1 	 0.7058824 	 -0.1146264 	 0.1836038 	 0.1773938 	 0.1004435 	 0.8212111 	 0.09109758 	 0.2959935 	 0.2693853 	 0.127415 	 -97.03746 	 -8203.683 	Good
DNMT3L 	 0 	 0.5759218 	 0.6144153 	 0.07411194 	 0.1227984 	 0.3943112 	 0.03095022 	 -0.4224911 	 0.9049881 	 0.04973082 	 -50.11762 	 -8558.949 	Poor
EZH2 	 0.2058824 	 1 	 0.8586681 	 0.1774006 	 0.2845565 	 0.1057664 	 0.07806966 	 -0.5174947 	 0.7449053 	 0.08477379 	 -87.3068 	 -6925.732 	Good
EED 	 0.1764706 	 0.1749227 	 0.1651421 	 0.1281261 	 -0.3280747 	 0.7005394 	 0.1445673 	 0.1747259 	 0.6382056 	 0.02240545 	 -79.56437 	 -8297.544 	Good
SMARCC2 	 0.9852941 	 0.2410839 	 0.6260035 	 0.1006269 	 -0.31907 	 0.6185995 	 0.1193568 	 0.1007806 	 0.6537205 	 0.1618489 	 -142.7236 	 -6872.875 	Poor
NODAL 	 0.02941176 	 -0.3354665 	 0.8282059 	 0.1753237 	 0.1005427 	 0.4851393 	 0.1774006 	 0.7354435 	 0.6965488 	 0.09486981 	 -87.45206 	 -7318.261 	Good
CDH1 	 0.08823529 	 0.4515979 	 0.5111229 	 0.09945829 	 0.3444205 	 0.1560571 	 0.09671918 	 0.1009418 	 0.3825961 	 0.01651248 	 -72.35303 	 -8591.823 	Poor
LEFTY2 	 0 	 0.1005184 	 0.6433072 	 0.02554292 	 -0.4636221 	 0.860146 	 0.08980137 	 0.7424704 	 0.3749465 	 0.1035154 	 -33.73269 	 -8142.755 	Poor
RIF1 	 0.6470588 	 0.1367905 	 0.8590286 	 0.0830584 	 0.572585 	 0.2874717 	 0.07072047 	 -0.395551 	 0.3322016 	 0.1774006 	 -72.31431 	 -8661.36 	Poor
ETV5 	 0.2794118 	 -0.7960191 	 0.2442388 	 0.1774006 	 0.1160466 	 0.7621211 	 0.05057096 	 0.7760431 	 0.1884517 	 0.1774006 	 -80.32425 	 -6881.484 	Good
DNMT3B 	 0.1323529 	 -0.2037914 	 0.1193288 	 0.05091778 	 0.1526963 	 0.617462 	 0.06553265 	 0.9177787 	 0.2832686 	 0.1206354 	 -76.09372 	 -8512.303 	Poor
KDM5A 	 0.7647059 	 -0.2901479 	 0.1770308 	 0.1031737 	 0.2174387 	 0.6926587 	 0.07069731 	 0.1652243 	 0.2849362 	 0.01636092 	 -83.89907 	 -7987.372 	Good
JARID2 	 0.4411765 	 0.4856547 	 0.2153492 	 0.1106268 	 1 	 0.8876102 	 0.1774006 	 -0.9049047 	 0.8996065 	 0.1598791 	 -75.54721 	 -8335.655 	Poor
LOX 	 1 	 -0.3053361 	 0.6288447 	 0.04394398 	 -0.1000013 	 0.5376626 	 0.02178396 	 -0.4537799 	 0.2316974 	 0.04906758 	 -76.71362 	 -7785.786 	Poor
Wnt3 	 0 	 0.3196668 	 0.8133437 	 0.05025155 	 -0.401024 	 0.823093 	 0.07141191 	 0.2710206 	 0.6687334 	 0.1091716 	 -118.1458 	 -10143.28 	Good
Gata6 	 0.1764706 	 -0.4282502 	 0.3432212 	 0.1692644 	 -0.100003 	 0.8831361 	 0.03921801 	 0.4639748 	 0.2934863 	 0.09285822 	 -91.35886 	 -8230.58 	Good
DPPA2 	 0 	 -0.3219901 	 0.7551163 	 0.02056973 	 -0.2357857 	 0.697537 	 0.02542243 	 1 	 0.7399425 	 0.05940212 	 -78.51998 	 -10136.75 	Poor
SALL1 	 0.6176471 	 0.1009473 	 0.9511696 	 0.09022626 	 1 	 0.3135621 	 0.1058001 	 -0.7909475 	 0.327464 	 0.1563738 	 -69.1003 	 -7855.114 	Poor
TCF3 	 0.2794118 	 0.5544584 	 0.3223765 	 0.1774006 	 0.3967582 	 0.9189074 	 0.0678335 	 -0.3889928 	 0.5679321 	 0.1293158 	 -72.83546 	 -7953.028 	Poor
PTPN6 	 0.02941176 	 0.1002125 	 0.5933138 	 0.1774006 	 -0.261969 	 0.9873415 	 0.1339024 	 0.3689162 	 0.7291506 	 0.09861348 	 -92.25289 	 -8390.194 	Good
USP16 	 0.7352941 	 0.8688265 	 0.2573956 	 0.1354418 	 -0.1001195 	 0.8015064 	 0.1774006 	 -0.7177981 	 0.2547049 	 0.1481665 	 -100.2526 	 -7739.921 	Good
SETD1A 	 0.6617647 	 0.1601015 	 0.9721547 	 0.1402242 	 0.210529 	 0.3596429 	 0.0390802 	 0.1007857 	 0.972484 	 0.1774006 	 -73.38101 	 -6703.319 	Poor
HDAC2 	 0.6029412 	 0.3632884 	 0.6266685 	 0.1489151 	 1 	 0.3225781 	 0.09277225 	 -0.9818326 	 0.4103673 	 0.1668324 	 -98.42399 	 -8049.742 	Good
LUM 	 0.9852941 	 -0.2030874 	 0.2773869 	 0.02074186 	 -0.3237634 	 0.5907067 	 0.1774006 	 -0.4465364 	 0.3291071 	 0.1068024 	 -72.1191 	 -8706.034 	Poor
SOX13 	 0.3676471 	 1 	 0.3405326 	 0.08112967 	 -0.610626 	 0.2494308 	 0.1068267 	 0.2106085 	 0.9140432 	 0.1042607 	 -71.27863 	 -7311.488 	Poor
SMAD4 	 0.7794118 	 -0.1006491 	 0.5844981 	 0.06028757 	 0.1458537 	 0.777305 	 0.1773861 	 0.1422947 	 0.2336342 	 0.07440155 	 -96.05162 	 -8710.499 	Poor
SEMA6A 	 0 	 -0.6445128 	 0.5963377 	 0.04518772 	 1 	 0.4300042 	 0.1774006 	 0.6409218 	 0.6077464 	 0.04889198 	 -80.68421 	 -9027.7 	Poor
GAL 	 0.1029412 	 0.2454561 	 0.4054006 	 0.04439383 	 -0.1034641 	 0.9070216 	 0.01103228 	 0.461166 	 0.3088967 	 0.1690548 	 -45.15003 	 -7843.049 	Poor
SALL4 	 0.1176471 	 0.609437 	 0.3640211 	 0.1677293 	 0.1002169 	 0.6514245 	 0.03379056 	 0.1663309 	 0.2680664 	 0.02911159 	 -72.63517 	 -8668.02 	Poor
HESX1 	 0 	 -0.1003326 	 0.5574657 	 0.028293 	 -0.5141618 	 0.7486704 	 0.07739616 	 0.9999819 	 0.7993156 	 0.1774006 	 -91.4758 	 -8475.081 	Poor
PRDM14 	 0 	 0.673115 	 0.5752375 	 0.09865212 	 -0.5041719 	 0.3443363 	 0.03056473 	 0.7664733 	 0.3466397 	 0.05531653 	 -84.17682 	 -8791.075 	Good
COL3A1 	 1 	 -0.7295737 	 0.6663746 	 0.1052472 	 -0.2116727 	 0.8934846 	 0.105 	 -0.100283 	 0.300735 	 0.1774006 	 -72.7034 	 -8467.694 	Poor
GREM1 	 0.7794118 	 -1 	 0.2744768 	 0.10545 	 0.486641 	 0.3356971 	 0.0686841 	 -0.2458968 	 0.288709 	 0.01576661 	 -70.0528 	 -8604.614 	Poor
DVL2 	 0.6617647 	 0.1001335 	 0.6177523 	 0.1774006 	 -0.1130985 	 0.9873415 	 0.1720674 	 0.1743735 	 0.1035211 	 0.07183248 	 -77.99898 	 -8354.635 	Poor
APOE 	 0.1323529 	 -0.3019643 	 0.2009153 	 0.1774006 	 0.4871881 	 0.136751 	 0.09112002 	 0.6832425 	 0.5835334 	 0.12815 	 -89.45523 	 -8562.264 	Good
LRRN1 	 0 	 0.5318443 	 0.8658582 	 0.1770283 	 0.1001749 	 0.4255026 	 0.07280303 	 0.4041894 	 0.9199761 	 0.07815217 	 -59.58304 	 -9067.87 	Poor
STAT3 	 0.9117647 	 0.1003767 	 0.2853427 	 0.02256647 	 0.3695479 	 0.4119003 	 0.09109982 	 -0.4757889 	 0.3708084 	 0.1379707 	 -85.60664 	 -8663.815 	Poor
OTX2 	 0.04411765 	 0.8779678 	 0.3424741 	 0.1774006 	 -0.7727922 	 0.3512571 	 0.09925758 	 0.742132 	 0.9274285 	 0.09053572 	 -52.33648 	 -8028.514 	Poor
CCND1 	 0.9558824 	 -0.5278163 	 0.5379835 	 0.1207494 	 -0.2264024 	 0.2565935 	 0.05964178 	 0.7392106 	 0.4569378 	 0.1774006 	 -120.3718 	 -8726.579 	Good
STEMCCA_P2A 	 0.9117647 	 0.2954715 	 0.727162 	 0.1773988 	 -0.4997977 	 0.9163892 	 0.1064211 	 -0.1007468 	 0.3337901 	 0.1389812 	 -67.19879 	 -7675.391 	Poor
TET2 	 0.3529412 	 0.4446011 	 0.2074187 	 0.1259292 	 -0.5313472 	 0.7553321 	 0.1511715 	 -0.1762715 	 0.2918951 	 0.009461363 	 -54.88832 	 -7643.016 	Poor
KAT7_Myst 	 0.6470588 	 -0.4065836 	 0.4096772 	 0.09197546 	 0.1462531 	 0.7622251 	 0.138036 	 0.6186705 	 0.3559555 	 0.1175236 	 -96.72195 	 -8536.469 	Good
TDGF1 	 0.1176471 	 0.1759219 	 0.1447214 	 0.1054713 	 1 	 0.9469962 	 0.1638869 	 -0.1655949 	 0.5617125 	 0.06379143 	 -44.13564 	 -8002.231 	Poor
MASP1 	 0.9411765 	 0.1239255 	 0.772376 	 0.07001456 	 -0.4945519 	 0.243388 	 0.06609964 	 -0.4923614 	 0.4532765 	 0.1774006 	 -58.653 	 -8225.598 	Poor
KDR 	 0 	 0.9071465 	 0.3244031 	 0.08880954 	 -0.5156616 	 0.364822 	 0.05538436 	 0.5229152 	 0.8972162 	 0.0898901 	 -85.52856 	 -8351.902 	Good
GDF3 	 0 	 -0.2698189 	 0.8340473 	 0.0831589 	 0.1273457 	 0.257761 	 0.03701412 	 1 	 0.5443218 	 0.1774006 	 -68.08443 	 -8107.703 	Poor
NANOG 	 0.1911765 	 0.1627422 	 0.2063057 	 0.05970383 	 0.4586246 	 0.3662922 	 0.1021617 	 0.1497603 	 0.2865311 	 0.01671517 	 -76.40681 	 -8904.944 	Poor
ZIC3 	 0.04411765 	 0.1165056 	 0.1976394 	 0.1161249 	 0.7306714 	 0.8236502 	 0.1068006 	 -0.1090116 	 0.2533359 	 0.02581333 	 -61.52712 	 -8906.077 	Poor
LIN28A 	 0.2205882 	 0.4463443 	 0.8059964 	 0.1031619 	 0.1000308 	 0.6516161 	 0.009461363 	 0.2266729 	 0.2077303 	 0.1774006 	 -72.78408 	 -7751.871 	Poor
POU5F1 	 0.2352941 	 0.475486 	 0.4080261 	 0.1774006 	 -0.7100586 	 0.449111 	 0.02690026 	 1 	 0.4426192 	 0.03590204 	 -73.14271 	 -7809.212 	Poor
