Gene	Test	Fit Error(Adj)	Pure Error(Adj)	F-Statistic	F-Critical Value	AIC	AICc	RSS	Fine AIC	Fine AICc	Fine RSS	Density-Compensated AICc
CD44 	 N2 	 0.335998 	 0.1186508 	 2.831823 	 1.584657 	 -89.76312 	 -85.76312 	 0.7391956 	 -8545.27 	 -8545.186 	 0.1939865 	 -223.3642 
CD44 	 N3 	 0.3918632 	 0.1186508 	 3.302659 	 1.627977 	 -83.56141 	 -73.56141 	 0.74454 	 -9006.727 	 -9006.546 	 0.1216075 	 -224.4399 
GABRB3 	 U 	 Inf 	 0.1793651 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
GABRB3 	 LR 	 0.3971536 	 0.1793651 	 2.214219 	 1.539686 	 -88.40351 	 -87.92351 	 1.032599 	 -3804.498 	 -3804.486 	 22.28829 	 -102.0514 
GABRB3 	 N1 	 0.8440309 	 0.1793651 	 4.705659 	 1.549845 	 -66.39344 	 -65.39344 	 2.110077 	 -5859.331 	 -5859.307 	 2.855602 	 -157.0652 
GABRB3 	 N2 	 0.8835655 	 0.1793651 	 4.926073 	 1.584657 	 -62.69103 	 -58.69103 	 1.943844 	 -7798.097 	 -7798.012 	 0.4092048 	 -202.4642 
GABRB3 	 N3 	 1.068749 	 0.1793651 	 5.958513 	 1.627977 	 -55.46812 	 -45.46812 	 2.030624 	 -8233.752 	 -8233.571 	 0.2632229 	 -202.8182 
SOX2 	 U 	 Inf 	 0.1924603 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SOX2 	 LR 	 0.1481144 	 0.1924603 	 0.7695839 	 1.539686 	 -116.021 	 -115.541 	 0.3850973 	 -3997.572 	 -3997.56 	 18.37847 	 -107.4521 
SOX2 	 N1 	 0.1669828 	 0.1924603 	 0.8676218 	 1.549845 	 -111.7618 	 -110.7618 	 0.4174569 	 -6838.173 	 -6838.149 	 1.074031 	 -184.4454 
SOX2 	 N2 	 0.2177774 	 0.1924603 	 1.131544 	 1.584657 	 -101.9048 	 -97.90481 	 0.4791102 	 -8554.373 	 -8554.288 	 0.1922305 	 -223.6188 
SOX2 	 N3 	 0.2510934 	 0.1924603 	 1.30465 	 1.627977 	 -96.02386 	 -86.02386 	 0.4770775 	 -8730.638 	 -8730.456 	 0.1602303 	 -216.7171 
ZNF281 	 U 	 Inf 	 0.06031746 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
ZNF281 	 LR 	 0.05229816 	 0.06031746 	 0.8670484 	 1.539686 	 -145.1696 	 -144.6896 	 0.1359752 	 -7267.754 	 -7267.742 	 0.7006582 	 -198.9257 
ZNF281 	 N1 	 0.05473741 	 0.06031746 	 0.9074887 	 1.549845 	 -142.9914 	 -141.9914 	 0.1368435 	 -6842.639 	 -6842.615 	 1.06925 	 -184.5703 
ZNF281 	 N2 	 0.07077432 	 0.06031746 	 1.173364 	 1.584657 	 -133.3762 	 -129.3762 	 0.1557035 	 -8719.006 	 -8718.921 	 0.1630776 	 -228.2239 
ZNF281 	 N3 	 0.08259267 	 0.06031746 	 1.3693 	 1.627977 	 -127.1572 	 -117.1572 	 0.1569261 	 -8659.487 	 -8659.306 	 0.1720339 	 -214.7269 
SP1 	 U 	 Inf 	 0.05873016 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SP1 	 LR 	 0.07169157 	 0.05873016 	 1.220694 	 1.539686 	 -136.3381 	 -135.8581 	 0.1863981 	 -7235.935 	 -7235.923 	 0.723288 	 -198.0357 
SP1 	 N1 	 0.0750702 	 0.05873016 	 1.278222 	 1.549845 	 -134.1469 	 -133.1469 	 0.1876755 	 -7030.585 	 -7030.561 	 0.8862103 	 -189.8276 
SP1 	 N2 	 0.07808794 	 0.05873016 	 1.329605 	 1.584657 	 -130.6227 	 -126.6227 	 0.1717935 	 -9101.598 	 -9101.514 	 0.1112763 	 -238.9258 
SP1 	 N3 	 0.09392451 	 0.05873016 	 1.599255 	 1.627977 	 -123.5572 	 -113.5572 	 0.1784566 	 -9186.211 	 -9186.029 	 0.1016458 	 -229.4604 
LEFTY1 	 U 	 Inf 	 0.1892857 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LEFTY1 	 LR 	 0.2706708 	 0.1892857 	 1.429959 	 1.539686 	 -99.13926 	 -98.65926 	 0.7037441 	 -5385.544 	 -5385.532 	 4.593281 	 -146.2765 
LEFTY1 	 N1 	 0.3106735 	 0.1892857 	 1.641294 	 1.549845 	 -94.37794 	 -93.37794 	 0.7766838 	 -5910.67 	 -5910.646 	 2.712839 	 -158.5013 
LEFTY1 	 N2 	 0.3614651 	 0.1892857 	 1.909627 	 1.584657 	 -87.71743 	 -83.71743 	 0.7952233 	 -7871.839 	 -7871.754 	 0.3801428 	 -204.527 
LEFTY1 	 N3 	 0.4221773 	 0.1892857 	 2.230371 	 1.627977 	 -81.47505 	 -71.47505 	 0.8021369 	 -8100.609 	 -8100.427 	 0.3006695 	 -199.094 
SET 	 U 	 Inf 	 0.04047619 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
SET 	 LR 	 0.0534182 	 0.04047619 	 1.319744 	 1.539686 	 -144.5763 	 -144.0963 	 0.1388873 	 -7232.676 	 -7232.664 	 0.7256469 	 -197.9445 
SET 	 N1 	 0.05311577 	 0.04047619 	 1.312272 	 1.549845 	 -143.8335 	 -142.8335 	 0.1327894 	 -6940.831 	 -6940.807 	 0.9693432 	 -187.317 
SET 	 N2 	 0.06338585 	 0.04047619 	 1.566003 	 1.584657 	 -136.4633 	 -132.4633 	 0.1394489 	 -6495.044 	 -6494.959 	 1.504125 	 -166.0152 
SET 	 N3 	 0.08923596 	 0.04047619 	 2.204653 	 1.627977 	 -124.991 	 -114.991 	 0.1695483 	 -8669.684 	 -8669.503 	 0.1702903 	 -215.0121 
CBX7 	 U 	 Inf 	 0.04206349 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CBX7 	 LR 	 0.02365787 	 0.04206349 	 0.5624323 	 1.539686 	 -167.3811 	 -166.9011 	 0.06151045 	 -6905.495 	 -6905.483 	 1.006181 	 -188.7926 
CBX7 	 N1 	 0.02887596 	 0.04206349 	 0.6864851 	 1.549845 	 -160.8985 	 -159.8985 	 0.0721899 	 -6482.2 	 -6482.176 	 1.532708 	 -174.4881 
CBX7 	 N2 	 0.04022726 	 0.04206349 	 0.9563462 	 1.584657 	 -149.1948 	 -145.1948 	 0.08849997 	 -9248.44 	 -9248.355 	 0.09609348 	 -243.0333 
CBX7 	 N3 	 0.0504419 	 0.04206349 	 1.199185 	 1.627977 	 -140.9639 	 -130.9639 	 0.09583962 	 -9825.255 	 -9825.073 	 0.05368258 	 -247.3358 
UTF1 	 U 	 Inf 	 0.1607143 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
UTF1 	 LR 	 0.7249625 	 0.1607143 	 4.510878 	 1.539686 	 -71.5532 	 -71.0732 	 1.884902 	 -3243.547 	 -3243.535 	 39.03475 	 -86.36047 
UTF1 	 N1 	 1.094085 	 0.1607143 	 6.807642 	 1.549845 	 -59.12786 	 -58.12786 	 2.735213 	 -5138.787 	 -5138.763 	 5.865618 	 -136.9101 
UTF1 	 N2 	 1.517537 	 0.1607143 	 9.44245 	 1.584657 	 -47.54645 	 -43.54645 	 3.338581 	 -8406.612 	 -8406.527 	 0.2228076 	 -219.4856 
UTF1 	 N3 	 1.749864 	 0.1607143 	 10.88805 	 1.627977 	 -41.66274 	 -31.66274 	 3.324742 	 -8459.301 	 -8459.119 	 0.2101198 	 -209.1273 
CDH2_NCAD 	 U 	 Inf 	 0.1384921 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CDH2_NCAD 	 LR 	 0.1621349 	 0.1384921 	 1.170716 	 1.539686 	 -113.4886 	 -113.0086 	 0.4215506 	 -5067.088 	 -5067.076 	 6.313771 	 -137.3686 
CDH2_NCAD 	 N1 	 0.2068134 	 0.1384921 	 1.493323 	 1.549845 	 -105.7719 	 -104.7719 	 0.5170336 	 -5089.415 	 -5089.391 	 6.162178 	 -135.5291 
CDH2_NCAD 	 N2 	 0.2235813 	 0.1384921 	 1.614398 	 1.584657 	 -101.1684 	 -97.16837 	 0.4918788 	 -7031.197 	 -7031.112 	 0.8803763 	 -181.0125 
CDH2_NCAD 	 N3 	 0.2779386 	 0.1384921 	 2.006892 	 1.627977 	 -93.17976 	 -83.17976 	 0.5280833 	 -8245.135 	 -8244.954 	 0.2602466 	 -203.1367 
HNF4A 	 U 	 Inf 	 0.09206349 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
HNF4A 	 LR 	 0.08662101 	 0.09206349 	 0.9408834 	 1.539686 	 -131.0414 	 -130.5614 	 0.2252146 	 -4918.61 	 -4918.598 	 7.323309 	 -133.2154 
HNF4A 	 N1 	 0.1134708 	 0.09206349 	 1.232528 	 1.549845 	 -122.5795 	 -121.5795 	 0.283677 	 -5562.487 	 -5562.463 	 3.841376 	 -148.7619 
HNF4A 	 N2 	 0.1914147 	 0.09206349 	 2.07916 	 1.584657 	 -105.5177 	 -101.5177 	 0.4211124 	 -7936.378 	 -7936.294 	 0.3564066 	 -206.3323 
HNF4A 	 N3 	 0.2283504 	 0.09206349 	 2.480357 	 1.627977 	 -98.68229 	 -88.68229 	 0.4338657 	 -8661.29 	 -8661.108 	 0.1717244 	 -214.7773 
TGFBR2 	 U 	 Inf 	 0.2154762 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TGFBR2 	 LR 	 0.2095988 	 0.2154762 	 0.9727237 	 1.539686 	 -106.2991 	 -105.8191 	 0.5449569 	 -6038.359 	 -6038.347 	 2.392722 	 -164.537 
TGFBR2 	 N1 	 0.2783161 	 0.2154762 	 1.291633 	 1.549845 	 -97.45753 	 -96.45753 	 0.6957902 	 -5223.287 	 -5223.263 	 5.390791 	 -139.2738 
TGFBR2 	 N2 	 0.2320203 	 0.2154762 	 1.076779 	 1.584657 	 -100.131 	 -96.13097 	 0.5104446 	 -7297.882 	 -7297.798 	 0.6744722 	 -188.4722 
TGFBR2 	 N3 	 0.2713724 	 0.2154762 	 1.259408 	 1.627977 	 -93.84919 	 -83.84919 	 0.5156076 	 -7918.538 	 -7918.357 	 0.3606473 	 -194.0011 
DUSP10 	 U 	 Inf 	 0.07103175 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
DUSP10 	 LR 	 0.09600736 	 0.07103175 	 1.351612 	 1.539686 	 -128.1607 	 -127.6807 	 0.2496191 	 -6023.966 	 -6023.954 	 2.427377 	 -164.1344 
DUSP10 	 N1 	 0.1087573 	 0.07103175 	 1.531109 	 1.549845 	 -123.7674 	 -122.7674 	 0.2718934 	 -7948.707 	 -7948.683 	 0.3541603 	 -215.5093 
DUSP10 	 N2 	 0.1264096 	 0.07103175 	 1.779621 	 1.584657 	 -117.1353 	 -113.1353 	 0.2781011 	 -8298.034 	 -8297.95 	 0.2483347 	 -216.4485 
DUSP10 	 N3 	 0.1470519 	 0.07103175 	 2.070227 	 1.627977 	 -111.005 	 -101.005 	 0.2793986 	 -8322.561 	 -8322.379 	 0.2408759 	 -205.3024 
MYC 	 U 	 Inf 	 0.05198413 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
MYC 	 LR 	 0.1464575 	 0.05198413 	 2.81735 	 1.539686 	 -116.336 	 -115.856 	 0.3807895 	 -7015.581 	 -7015.569 	 0.9013935 	 -191.8719 
MYC 	 N1 	 0.1602496 	 0.05198413 	 3.082664 	 1.549845 	 -112.9142 	 -111.9142 	 0.400624 	 -6771.831 	 -6771.807 	 1.147625 	 -182.5897 
MYC 	 N2 	 0.175378 	 0.05198413 	 3.373684 	 1.584657 	 -107.9676 	 -103.9676 	 0.3858316 	 -6864.523 	 -6864.438 	 1.039876 	 -176.3503 
MYC 	 N3 	 0.1809177 	 0.05198413 	 3.480248 	 1.627977 	 -105.2018 	 -95.20179 	 0.3437436 	 -8833.198 	 -8833.016 	 0.1446265 	 -219.586 
ZFP42_REX1 	 U 	 Inf 	 0.1757937 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
ZFP42_REX1 	 LR 	 0.1781927 	 0.1757937 	 1.013647 	 1.539686 	 -110.8443 	 -110.3643 	 0.4633011 	 -3500.828 	 -3500.816 	 30.18749 	 -93.55716 
ZFP42_REX1 	 N1 	 0.2245964 	 0.1757937 	 1.277614 	 1.549845 	 -103.4622 	 -102.4622 	 0.5614909 	 -7390.373 	 -7390.349 	 0.6186415 	 -199.8916 
ZFP42_REX1 	 N2 	 0.2573865 	 0.1757937 	 1.46414 	 1.584657 	 -97.22586 	 -93.22586 	 0.5662502 	 -8665.952 	 -8665.868 	 0.171954 	 -226.7399 
ZFP42_REX1 	 N3 	 0.2933833 	 0.1757937 	 1.668907 	 1.627977 	 -91.66553 	 -81.66553 	 0.5574283 	 -8914.684 	 -8914.503 	 0.1333196 	 -221.8653 
TRIM28 	 U 	 Inf 	 0.0547619 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
TRIM28 	 LR 	 0.05175866 	 0.0547619 	 0.9451581 	 1.539686 	 -145.46 	 -144.98 	 0.1345725 	 -7709.518 	 -7709.506 	 0.4506532 	 -211.2827 
TRIM28 	 N1 	 0.05658443 	 0.0547619 	 1.033281 	 1.549845 	 -142.0622 	 -141.0622 	 0.1414611 	 -8217.43 	 -8217.406 	 0.2707769 	 -223.026 
TRIM28 	 N2 	 0.06172848 	 0.0547619 	 1.127216 	 1.584657 	 -137.2052 	 -133.2052 	 0.1358027 	 -9111.521 	 -9111.437 	 0.1101787 	 -239.2034 
TRIM28 	 N3 	 0.07180977 	 0.0547619 	 1.311309 	 1.627977 	 -131.0744 	 -121.0744 	 0.1364386 	 -9180.492 	 -9180.31 	 0.1022282 	 -229.3005 
CD48 	 U 	 Inf 	 0.0515873 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CD48 	 LR 	 0.07654499 	 0.0515873 	 1.483795 	 1.539686 	 -134.5039 	 -134.0239 	 0.199017 	 -6066.238 	 -6066.226 	 2.327002 	 -165.3169 
CD48 	 N1 	 0.07954115 	 0.0515873 	 1.541875 	 1.549845 	 -132.527 	 -131.527 	 0.1988529 	 -6527.611 	 -6527.586 	 1.464731 	 -175.7583 
CD48 	 N2 	 0.09535926 	 0.0515873 	 1.848503 	 1.584657 	 -125.0278 	 -121.0278 	 0.2097904 	 -8415.826 	 -8415.742 	 0.220766 	 -219.7434 
CD48 	 N3 	 0.1130011 	 0.0515873 	 2.190483 	 1.627977 	 -118.3798 	 -108.3798 	 0.2147021 	 -8619.36 	 -8619.179 	 0.1790703 	 -213.6045 
CDKN1A 	 U 	 Inf 	 0.1694444 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
CDKN1A 	 LR 	 0.19937 	 0.1694444 	 1.17661 	 1.539686 	 -107.7 	 -107.22 	 0.518362 	 -5665.292 	 -5665.28 	 3.473374 	 -154.1016 
CDKN1A 	 N1 	 0.1563025 	 0.1694444 	 0.922441 	 1.549845 	 -113.6125 	 -112.6125 	 0.3907563 	 -6867.94 	 -6867.916 	 1.042563 	 -185.278 
CDKN1A 	 N2 	 0.1866461 	 0.1694444 	 1.101518 	 1.584657 	 -106.2241 	 -102.2241 	 0.4106214 	 -7956.925 	 -7956.84 	 0.3491657 	 -206.907 
CDKN1A 	 N3 	 0.2048104 	 0.1694444 	 1.208717 	 1.627977 	 -101.7286 	 -91.72859 	 0.3891398 	 -7512.357 	 -7512.175 	 0.5411388 	 -182.6394 
JMJD3 	 U 	 Inf 	 0.2190476 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
JMJD3 	 LR 	 0.1512224 	 0.2190476 	 0.690363 	 1.539686 	 -115.4395 	 -114.9595 	 0.3931782 	 -6484.538 	 -6484.526 	 1.532191 	 -177.0176 
JMJD3 	 N1 	 0.1502007 	 0.2190476 	 0.6856988 	 1.549845 	 -114.7275 	 -113.7275 	 0.3755017 	 -5822.52 	 -5822.496 	 2.962572 	 -156.0355 
JMJD3 	 N2 	 0.1852502 	 0.2190476 	 0.8457074 	 1.584657 	 -106.4343 	 -102.4343 	 0.4075504 	 -6940.674 	 -6940.59 	 0.9637013 	 -178.4804 
JMJD3 	 N3 	 0.2470946 	 0.2190476 	 1.12804 	 1.627977 	 -96.47337 	 -86.47337 	 0.4694797 	 -6186.098 	 -6185.916 	 2.03573 	 -145.5412 
RNF2 	 U 	 Inf 	 0.1412698 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
RNF2 	 LR 	 0.1607968 	 0.1412698 	 1.138225 	 1.539686 	 -113.7206 	 -113.2406 	 0.4180718 	 -5598.894 	 -5598.882 	 3.71158 	 -152.2443 
RNF2 	 N1 	 0.1634508 	 0.1412698 	 1.157011 	 1.549845 	 -112.3604 	 -111.3604 	 0.4086269 	 -6176.615 	 -6176.591 	 2.079893 	 -165.9403 
RNF2 	 N2 	 0.2095476 	 0.1412698 	 1.483315 	 1.584657 	 -102.9834 	 -98.98344 	 0.4610048 	 -6664.122 	 -6664.038 	 1.270362 	 -170.7447 
RNF2 	 N3 	 0.2355557 	 0.1412698 	 1.667417 	 1.627977 	 -97.81244 	 -87.81244 	 0.4475558 	 -8173.75 	 -8173.568 	 0.2794836 	 -201.1399 
LATS2 	 U 	 Inf 	 0.2095238 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LATS2 	 LR 	 0.1861152 	 0.2095238 	 0.8882769 	 1.539686 	 -109.6263 	 -109.1463 	 0.4838994 	 -5056.692 	 -5056.68 	 6.379684 	 -137.0778 
LATS2 	 N1 	 0.249389 	 0.2095238 	 1.190266 	 1.549845 	 -100.5303 	 -99.53035 	 0.6234724 	 -4333.651 	 -4333.627 	 13.11084 	 -114.3888 
LATS2 	 N2 	 0.2383551 	 0.2095238 	 1.137604 	 1.584657 	 -99.37674 	 -95.37674 	 0.5243813 	 -7856.469 	 -7856.384 	 0.3860248 	 -204.097 
LATS2 	 N3 	 0.2637806 	 0.2095238 	 1.258953 	 1.627977 	 -94.64367 	 -84.64367 	 0.5011831 	 -8045.691 	 -8045.51 	 0.3176259 	 -197.5578 
FGF2 	 U 	 Inf 	 0.1460317 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
FGF2 	 LR 	 0.1734169 	 0.1460317 	 1.187529 	 1.539686 	 -111.605 	 -111.125 	 0.450884 	 -4961.994 	 -4961.982 	 7.012693 	 -134.4289 
FGF2 	 N1 	 0.1884763 	 0.1460317 	 1.290653 	 1.549845 	 -108.3715 	 -107.3715 	 0.4711908 	 -5127.109 	 -5127.085 	 5.934446 	 -136.5835 
FGF2 	 N2 	 0.3022348 	 0.1460317 	 2.069652 	 1.584657 	 -92.72835 	 -88.72835 	 0.6649166 	 -6429.786 	 -6429.702 	 1.605449 	 -164.1898 
FGF2 	 N3 	 0.4041631 	 0.1460317 	 2.767639 	 1.627977 	 -82.69604 	 -72.69604 	 0.76791 	 -8124.136 	 -8123.954 	 0.2936851 	 -199.7521 
LCK 	 U 	 Inf 	 0.1686508 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
LCK 	 LR 	 0.1632882 	 0.1686508 	 0.968203 	 1.539686 	 -113.2901 	 -112.8101 	 0.4245494 	 -5525.349 	 -5525.337 	 3.994544 	 -150.1871 
LCK 	 N1 	 0.1619068 	 0.1686508 	 0.9600122 	 1.549845 	 -112.6261 	 -111.6261 	 0.404767 	 -5353.641 	 -5353.617 	 4.732567 	 -142.92 
LCK 	 N2 	 0.2371569 	 0.1686508 	 1.406201 	 1.584657 	 -99.51785 	 -95.51785 	 0.5217453 	 -8476.203 	 -8476.118 	 0.2078438 	 -221.4322 
LCK 	 N3 	 0.2745188 	 0.1686508 	 1.627735 	 1.627977 	 -93.52642 	 -83.52642 	 0.5215856 	 -8632.618 	 -8632.436 	 0.1767143 	 -213.9753 
KLF5 	 U 	 Inf 	 0.2075397 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
KLF5 	 LR 	 0.5193801 	 0.2075397 	 2.502558 	 1.539686 	 -80.89075 	 -80.41075 	 1.350388 	 -3613.507 	 -3613.495 	 26.97369 	 -96.709 
KLF5 	 N1 	 0.708914 	 0.2075397 	 3.4158 	 1.549845 	 -71.27818 	 -70.27818 	 1.772285 	 -5119.5 	 -5119.476 	 5.97973 	 -136.3706 
KLF5 	 N2 	 0.8541359 	 0.2075397 	 4.11553 	 1.584657 	 -63.63954 	 -59.63954 	 1.879099 	 -6381.528 	 -6381.443 	 1.684745 	 -162.8399 
KLF5 	 N3 	 0.9423714 	 0.2075397 	 4.54068 	 1.627977 	 -58.99178 	 -48.99178 	 1.790506 	 -7932.858 	 -7932.676 	 0.3555248 	 -194.4016 
KLF4 	 U 	 Inf 	 0.2194444 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
KLF4 	 LR 	 0.3452345 	 0.2194444 	 1.573221 	 1.539686 	 -92.32628 	 -91.84628 	 0.8976098 	 -5271.685 	 -5271.673 	 5.14662 	 -143.0916 
KLF4 	 N1 	 0.3595455 	 0.2194444 	 1.638435 	 1.549845 	 -90.28719 	 -89.28719 	 0.8988637 	 -5494.585 	 -5494.561 	 4.110992 	 -146.8625 
KLF4 	 N2 	 0.4096809 	 0.2194444 	 1.8669 	 1.584657 	 -84.21147 	 -80.21147 	 0.9012979 	 -6186.713 	 -6186.629 	 2.046711 	 -157.3906 
KLF4 	 N3 	 0.5201358 	 0.2194444 	 2.370239 	 1.627977 	 -75.63245 	 -65.63245 	 0.988258 	 -7961.822 	 -7961.64 	 0.345385 	 -195.2118 
NACC1 	 U 	 Inf 	 0.1257937 	 Inf 	 1.521132 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 	 Inf 
NACC1 	 LR 	 0.1149505 	 0.1257937 	 0.913802 	 1.539686 	 -123.1185 	 -122.6385 	 0.2988713 	 -7244.648 	 -7244.636 	 0.7170196 	 -198.2794 
NACC1 	 N1 	 0.1344148 	 0.1257937 	 1.068534 	 1.549845 	 -117.8367 	 -116.8367 	 0.336037 	 -7134.096 	 -7134.072 	 0.7991488 	 -192.723 
