Gene	Baseline	Scale1	Mean1	Stdev1	Scale2	Mean2	Stdev2	AICC	FineAICC	Passes F-Test?
LCK 	 0 	 0.2431661 	 0.388826 	 0.1470252 	 0.4404644 	 0.924522 	 0.06790067 	 -95.51785 	 -8476.118 	Good
KLF5 	 0.3823529 	 -0.2884579 	 0.5338037 	 0.1774006 	 0.6427562 	 0.2619166 	 0.05819315 	 -59.63954 	 -6381.443 	Poor
KLF4 	 0.7941176 	 -0.159108 	 0.1268325 	 0.05077829 	 -0.2204452 	 0.9261705 	 0.04819288 	 -80.21147 	 -6186.629 	Poor
NACC1 	 0.7058824 	 -0.7235623 	 0.5495486 	 0.1249844 	 1 	 0.5303973 	 0.1774006 	 -109.3222 	 -7979.675 	Good
DNMT3L 	 0 	 1 	 0.6495852 	 0.1545822 	 -0.8172822 	 0.8897539 	 0.09189457 	 -63.09925 	 -7867.527 	Poor
EZH2 	 0.2058824 	 0.3018211 	 0.1138686 	 0.08562402 	 0.3637764 	 0.9588525 	 0.05847302 	 -102.0277 	 -6703.742 	Good
EED 	 0.1764706 	 -0.1220144 	 0.8262822 	 0.06336533 	 0.1528383 	 0.140246 	 0.1048243 	 -91.81631 	 -7515.486 	Good
SMARCC2 	 0.9852941 	 0.1070571 	 0.3806179 	 0.01956049 	 -0.1004747 	 0.2242218 	 0.08229601 	 -141.8091 	 -9496.815 	Poor
NODAL 	 0.02941176 	 0.7205516 	 0.691854 	 0.1220193 	 -0.1871124 	 0.9139978 	 0.04113389 	 -99.24837 	 -7330.905 	Good
CDH1 	 0.08823529 	 0.3000197 	 0.1414221 	 0.09215033 	 0.5972267 	 0.4706093 	 0.119489 	 -84.84963 	 -8274.111 	Poor
LEFTY2 	 0 	 -0.3803261 	 0.8636597 	 0.06296264 	 0.7964708 	 0.3886036 	 0.116954 	 -46.50348 	 -7788.144 	Poor
RIF1 	 0.6470588 	 0.22571 	 0.278775 	 0.0281323 	 0.1005395 	 0.9124852 	 0.05867579 	 -84.88305 	 -6977.089 	Poor
ETV5 	 0.2794118 	 -0.9413551 	 0.3426255 	 0.1367234 	 1 	 0.3300807 	 0.1774006 	 -93.84643 	 -6312.26 	Good
DNMT3B 	 0.1323529 	 0.4780213 	 0.2865331 	 0.06207782 	 0.3909901 	 0.4947367 	 0.1358211 	 -89.73978 	 -7966.313 	Poor
KDM5A 	 0.7647059 	 -0.1412618 	 0.09634097 	 0.0539651 	 0.2357772 	 0.6840541 	 0.08331143 	 -94.19414 	 -7094.64 	Good
JARID2 	 0.4411765 	 0.1004987 	 0.6040119 	 0.1774006 	 0.4645691 	 0.2089414 	 0.1056218 	 -87.47398 	 -8310.413 	Poor
LOX 	 1 	 -0.4544942 	 0.231899 	 0.04918199 	 -0.4048091 	 0.6068235 	 0.05798252 	 -89.1019 	 -7734.545 	Good
Wnt3 	 0 	 0.1194244 	 0.5830463 	 0.07432356 	 0.1008474 	 0.7173312 	 0.05877334 	 -129.5439 	 -9063.933 	Good
Gata6 	 0.1764706 	 -0.1896041 	 0.7628847 	 0.1774006 	 0.1198595 	 0.2874131 	 0.02358585 	 -101.7161 	 -7751.924 	Good
DPPA2 	 0 	 0.2049301 	 0.8147767 	 0.02477956 	 0.233243 	 0.6908518 	 0.05640646 	 -91.28465 	 -10003.61 	Poor
SALL1 	 0.6176471 	 1 	 0.3052158 	 0.09981633 	 -0.770559 	 0.3079141 	 0.1413747 	 -80.26844 	 -7520.306 	Poor
TCF3 	 0.2794118 	 0.275453 	 0.1883068 	 0.0954809 	 0.2511573 	 0.9377082 	 0.03806137 	 -91.31726 	 -6041.592 	Good
PTPN6 	 0.02941176 	 1 	 0.8355558 	 0.1774006 	 -0.7354711 	 0.9452827 	 0.1146264 	 -104.1916 	 -8307.869 	Good
USP16 	 0.7352941 	 -0.3360256 	 0.454732 	 0.1255513 	 0.4338821 	 0.3678614 	 0.1290153 	 -113.577 	 -8196.101 	Good
SETD1A 	 0.6617647 	 -0.4514462 	 0.5582634 	 0.07601971 	 0.7690742 	 0.5294695 	 0.1774006 	 -90.17492 	 -7126.382 	Poor
HDAC2 	 0.6029412 	 0.1000446 	 0.952609 	 0.125146 	 0.3292951 	 0.3016423 	 0.0426088 	 -108.2393 	 -7248.159 	Good
LUM 	 0.9852941 	 -0.4471694 	 0.284767 	 0.05260969 	 -0.5140398 	 0.4959534 	 0.1774006 	 -83.62201 	 -8267.427 	Poor
SOX13 	 0.3676471 	 1 	 0.323782 	 0.1125233 	 -0.5627985 	 0.195009 	 0.07652759 	 -81.69906 	 -6253.159 	Poor
SMAD4 	 0.7794118 	 -0.8408244 	 0.5144877 	 0.1256629 	 1 	 0.4904544 	 0.1774006 	 -108.7156 	 -8392.97 	Good
SEMA6A 	 0 	 0.8895497 	 0.4042495 	 0.1685439 	 0.1104775 	 0.7122206 	 0.07333164 	 -94.30038 	 -8801.598 	Good
GAL 	 0.1029412 	 -0.1086089 	 0.9061558 	 0.011526 	 0.711718 	 0.3530378 	 0.1362132 	 -56.69548 	 -7103.242 	Poor
SALL4 	 0.1176471 	 0.2706184 	 0.6010667 	 0.1014695 	 0.610774 	 0.288549 	 0.1016415 	 -85.81373 	 -8235.346 	Poor
HESX1 	 0 	 0.1009421 	 0.8303138 	 0.1774006 	 0.1688194 	 0.9312985 	 0.03029161 	 -98.71933 	 -7624.531 	Poor
PRDM14 	 0 	 0.1001695 	 0.2648679 	 0.02489428 	 0.8389293 	 0.543112 	 0.1187621 	 -96.47538 	 -8191.776 	Good
COL3A1 	 1 	 -0.1003145 	 0.3197886 	 0.1774006 	 -0.8895251 	 0.6981427 	 0.126473 	 -84.11876 	 -8244.444 	Poor
GREM1 	 0.7794118 	 -0.7489489 	 0.2396726 	 0.07354564 	 -0.1002013 	 0.9873415 	 0.1186952 	 -83.0088 	 -7345.461 	Poor
DVL2 	 0.6617647 	 0.1001539 	 0.9873415 	 0.1774006 	 0.2078168 	 0.134566 	 0.1207447 	 -90.91434 	 -7575.987 	Poor
APOE 	 0.1323529 	 0.2567068 	 0.1326439 	 0.06344829 	 0.6086802 	 0.5997734 	 0.1158302 	 -101.0955 	 -8489.066 	Good
LRRN1 	 0 	 1 	 0.806056 	 0.1774006 	 -0.1250673 	 0.6853441 	 0.02414471 	 -71.04504 	 -6720.533 	Poor
STAT3 	 0.9117647 	 -0.4170473 	 0.7746177 	 0.1097545 	 0.4696485 	 0.8045328 	 0.1430811 	 -99.11044 	 -7423.772 	Poor
OTX2 	 0.04411765 	 0.7067886 	 0.9184945 	 0.09064236 	 0.1003135 	 0.5735884 	 0.1774006 	 -62.17376 	 -5467.671 	Poor
CCND1 	 0.9558824 	 0.3114828 	 0.393322 	 0.04959867 	 -0.3322839 	 0.3888824 	 0.08701581 	 -133.2531 	 -8310.3 	Good
STEMCCA_P2A 	 0.9117647 	 0.7535327 	 0.6745308 	 0.1050839 	 -1 	 0.7346259 	 0.1774006 	 -79.41936 	 -7104.261 	Poor
TET2 	 0.3529412 	 -0.4878484 	 0.7609518 	 0.1321999 	 0.2406279 	 0.119142 	 0.06449425 	 -66.84119 	 -7161.588 	Poor
KAT7_Myst 	 0.6470588 	 0.1345902 	 0.7630672 	 0.1149579 	 0.2174065 	 0.2580711 	 0.08338143 	 -108.5236 	 -8495.478 	Good
TDGF1 	 0.1176471 	 0.1293413 	 0.1041426 	 0.05680633 	 0.5530648 	 0.9026763 	 0.08034352 	 -58.21065 	 -6639.721 	Poor
MASP1 	 0.9411765 	 -0.9024298 	 0.3051901 	 0.1320546 	 0.1002121 	 0.9873415 	 0.1664124 	 -73.88984 	 -6800.21 	Poor
KDR 	 0 	 0.3744676 	 0.2541634 	 0.06391241 	 0.6198714 	 0.9131102 	 0.1119651 	 -95.83454 	 -8040.452 	Good
GDF3 	 0 	 1 	 0.4770165 	 0.1763936 	 -0.1292582 	 0.8637951 	 0.03341306 	 -82.76093 	 -7476.965 	Poor
NANOG 	 0.1911765 	 0.6218498 	 0.282762 	 0.07757136 	 0.1491493 	 0.4628107 	 0.07130305 	 -88.51775 	 -8485.126 	Poor
ZIC3 	 0.04411765 	 0.2701913 	 0.7911344 	 0.06613224 	 0.6724124 	 0.9225255 	 0.1774006 	 -73.1183 	 -7692.237 	Poor
LIN28A 	 0.2205882 	 0.2094446 	 0.1857925 	 0.167834 	 0.5660759 	 0.7698792 	 0.1237548 	 -85.12305 	 -7540.107 	Good
POU5F1 	 0.2352941 	 0.5066871 	 0.4184601 	 0.1774006 	 0.2616756 	 0.4159753 	 0.03843221 	 -85.17273 	 -7682.316 	Poor
